"chart_week","chart_position","name_recording","name_artist_credit"
1987-03-21,92,"Fascinated","Company B"
1987-03-21,92,"You Can Call Me Al","Paul Simon"
1987-03-28,69,"Touch Me (I Want Your Body)","Samantha Fox"
1987-03-28,69,"You Can Call Me Al","Paul Simon"
1987-04-04,59,"You Can Call Me Al","Paul Simon"
1987-04-04,59,"Brass Monkey","Beastie Boys"
1987-04-11,45,"If She Would Have Been Faithful","Chicago"
1987-04-11,45,"You Can Call Me Al","Paul Simon"
1987-04-18,40,"You Can Call Me Al","Paul Simon"
1987-04-18,40,"The Right Thing","Simply Red"
1987-04-25,37,"You Can Call Me Al","Paul Simon"
1987-04-25,37,"Get That Love","Thompson Twins"
1987-05-02,36,"You Can Call Me Al","Paul Simon"
1987-05-02,36,"Heartbreak Beat","Psychedelic Furs"
1987-05-09,29,"Head To Toe","Lisa Lisa And Cult Jam"
1987-05-09,29,"You Can Call Me Al","Paul Simon"
1987-05-16,23,"Diamonds","Herb Alpert"
1987-05-16,23,"You Can Call Me Al","Paul Simon"
1987-05-30,32,"Point Of No Return","Exposé"
1987-05-30,32,"You Can Call Me Al","Paul Simon"
1987-06-06,42,"You Can Call Me Al","Paul Simon"
1987-06-06,42,"Heartbreak Beat","Psychedelic Furs"
1987-06-13,64,"You Can Call Me Al","Paul Simon"
1987-06-13,64,"Variety Tonight","REO Speedwagon"
1987-06-20,80,"You Can Call Me Al","Paul Simon"
1987-06-20,80,"Mary's Prayer","Danny Wilson"
1987-06-27,99,"Nothing's Gonna Stop Us Now","Starship"
1987-06-27,99,"You Can Call Me Al","Paul Simon"
1990-01-06,37,"Kickstart My Heart","Mötley Crüe"
1990-01-06,37,"Fool For Your Loving","Whitesnake"
1990-01-13,46,"(It's Just) The Way That You Love Me","Paula Abdul"
1990-01-13,46,"Fool For Your Loving","Whitesnake"
1990-01-20,54,"Me So Horny","2 Live Crew"
1990-01-20,54,"Fool For Your Loving","Whitesnake"
1990-01-27,73,"Don't Take It Personal","Jermaine Jackson"
1990-01-27,73,"Fool For Your Loving","Whitesnake"
1990-02-03,88,"Everything You Do (You're Sexing Me)","Fiona"
1990-02-03,88,"Fool For Your Loving","Whitesnake"
1990-02-10,98,"Everything You Do (You're Sexing Me)","Fiona"
1990-02-10,98,"Fool For Your Loving","Whitesnake"
1991-09-14,1,"(Everything I Do) I Do It For You","Bryan Adams"
1991-09-14,1,"The Promise Of A New Day","Paula Abdul"
1991-09-21,3,"(Everything I Do) I Do It For You","Bryan Adams"
1991-09-21,3,"Motownphilly","Boyz II Men"
1991-09-28,6,"(Everything I Do) I Do It For You","Bryan Adams"
1991-09-28,6,"Things That Make You Go Hmmmm","C+C Music Factory"
1991-10-05,12,"(Everything I Do) I Do It For You","Bryan Adams"
1991-10-05,12,"Everybody Plays The Fool","Aaron Neville"
1991-10-12,13,"(Everything I Do) I Do It For You","Bryan Adams"
1991-10-12,13,"Real, Real, Real","Jesus Jones"
1991-10-19,23,"(Everything I Do) I Do It For You","Bryan Adams"
1991-10-19,23,"Kiss Them For Me","Siouxsie & The Banshees"
