"","Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word","artist_lower","artist_no_featuring_lower","track_lower","track_lower_no_brackets","track_lower_no_schar","track_lower_no_brackets_schar_ws","artist_mbid","artist_mbid_musibrainz"
"1","2Gether","The Hardest Part Of Breaking Up (Is Getting Back Your Stuff)",3,"The Hardest Part Of Breaking Up ","2Gether","2Gether","2gether","2gether","the hardest part of breaking up (is getting back your stuff)","the hardest part of breaking up ","the hardest part of breaking up ","thehardestpartofbreakingup",NA,NA
"2","Aaron Lewis Of Staind With Fred Durst","Outside",19,"Outside","Aaron","Durst","aaron lewis of staind with fred durst","aaron lewis of staind","outside","outside","outside","outside",NA,NA
"3","American Idol Finalists","God Bless The U.S.A.",8,"God Bless The U.S.A.","American","Finalists","american idol finalists","american idol finalists","god bless the u.s.a.","god bless the u.s.a.","god bless the u s a ","godblesstheusa",NA,NA
"4","Anthony Hamilton","Charlene",17,"Charlene","Anthony","Hamilton","anthony hamilton","anthony hamilton","charlene","charlene","charlene","charlene",NA,NA
"5","Bad Boy's Da Band","Bad Boy This Bad Boy That",9,"Bad Boy This Bad Boy That","Bad","Band","bad boy's da band","bad boy's da band","bad boy this bad boy that","bad boy this bad boy that","bad boy this bad boy that","badboythisbadboythat",NA,NA
"6","Bilal","Soul Sista",14,"Soul Sista","Bilal","Bilal","bilal","bilal","soul sista","soul sista","soul sista","soulsista",NA,NA
"7","Changing Faces","That Other Woman",11,"That Other Woman","Changing","Faces","changing faces","changing faces","that other woman","that other woman","that other woman","thatotherwoman",NA,NA
"8","Christina Aguilera","Beautiful",27,"Beautiful","Christina","Aguilera","christina aguilera","christina aguilera","beautiful","beautiful","beautiful","beautiful",NA,NA
"9","Christina Aguilera","Come On Over Baby (All I Want Is You)",21,"Come On Over Baby ","Christina","Aguilera","christina aguilera","christina aguilera","come on over baby (all i want is you)","come on over baby ","come on over baby ","comeonoverbaby",NA,NA
"10","Christina Aguilera","Fighter",20,"Fighter","Christina","Aguilera","christina aguilera","christina aguilera","fighter","fighter","fighter","fighter",NA,NA
"11","Christina Aguilera","Genie In A Bottle",25,"Genie In A Bottle","Christina","Aguilera","christina aguilera","christina aguilera","genie in a bottle","genie in a bottle","genie in a bottle","genieinabottle",NA,NA
"12","Christina Aguilera","I Turn To You",22,"I Turn To You","Christina","Aguilera","christina aguilera","christina aguilera","i turn to you","i turn to you","i turn to you","iturntoyou",NA,NA
"13","Christina Aguilera","The Christmas Song (Chestnuts Roasting On An Open Fire)",4,"The Christmas Song ","Christina","Aguilera","christina aguilera","christina aguilera","the christmas song (chestnuts roasting on an open fire)","the christmas song ","the christmas song ","thechristmassong",NA,NA
"14","Christina Aguilera","The Voice Within",16,"The Voice Within","Christina","Aguilera","christina aguilera","christina aguilera","the voice within","the voice within","the voice within","thevoicewithin",NA,NA
"15","Christina Aguilera","What A Girl Wants",24,"What A Girl Wants","Christina","Aguilera","christina aguilera","christina aguilera","what a girl wants","what a girl wants","what a girl wants","whatagirlwants",NA,NA
"16","Christina Aguilera Featuring Lil' Kim","Can't Hold Us Down",20,"Can't Hold Us Down","Christina","Kim","christina aguilera featuring lil' kim","christina aguilera","can't hold us down","can't hold us down","can t hold us down","cantholdusdown",NA,NA
"17","Christina Aguilera Featuring Missy Elliott","Car Wash",5,"Car Wash","Christina","Elliott","christina aguilera featuring missy elliott","christina aguilera","car wash","car wash","car wash","carwash",NA,NA
"18","Christina Aguilera Featuring Redman","Dirrty",20,"Dirrty","Christina","Redman","christina aguilera featuring redman","christina aguilera","dirrty","dirrty","dirrty","dirrty",NA,NA
"19","Christina Aguilera, Lil' Kim, Mya & P!nk","Lady Marmalade",20,"Lady Marmalade","Christina","nk","christina aguilera, lil' kim, mya & p!nk","christina aguilera","lady marmalade","lady marmalade","lady marmalade","ladymarmalade",NA,NA
"20","Cool Breeze Featuring OutKast, Goodie Mob & Witchdoctor","Watch For The Hook",10,"Watch For The Hook","Cool","Witchdoctor","cool breeze featuring outkast, goodie mob & witchdoctor","cool breeze","watch for the hook","watch for the hook","watch for the hook","watchforthehook",NA,NA
"21","Craig David","7 Days",20,"7 Days","Craig","David","craig david","craig david","7 days","7 days","7 days","7days",NA,NA
"22","Craig David","Fill Me In",27,"Fill Me In","Craig","David","craig david","craig david","fill me in","fill me in","fill me in","fillmein",NA,NA
"23","Craig David","Walking Away",20,"Walking Away","Craig","David","craig david","craig david","walking away","walking away","walking away","walkingaway",NA,NA
"24","Crossfade","Cold",21,"Cold","Crossfade","Crossfade","crossfade","crossfade","cold","cold","cold","cold",NA,NA
"25","D'Angelo","Untitled (How Does It Feel)",17,"Untitled ","D","Angelo","d'angelo","d'angelo","untitled (how does it feel)","untitled ","untitled ","untitled",NA,NA
"26","D'Angelo Featuring Method Man And Redman","Left & Right",5,"Left & Right","D","Redman","d'angelo featuring method man and redman","d'angelo","left & right","left & right","left   right","leftright",NA,NA
"27","Damizza Presents Shade Sheist Featuring Nate Dogg & Kurupt","Where I Wanna Be",5,"Where I Wanna Be","Damizza","Kurupt","damizza presents shade sheist featuring nate dogg & kurupt","damizza presents shade sheist","where i wanna be","where i wanna be","where i wanna be","whereiwannabe",NA,NA
"28","Disturbed","Prayer",20,"Prayer","Disturbed","Disturbed","disturbed","disturbed","prayer","prayer","prayer","prayer",NA,NA
"29","DJ Sammy & Yanou Featuring Do","Heaven",27,"Heaven","DJ","Do","dj sammy & yanou featuring do","dj sammy","heaven","heaven","heaven","heaven",NA,NA
"30","Elvis Presley vs JXL","A Little Less Conversation",9,"A Little Less Conversation","Elvis","JXL","elvis presley vs jxl","elvis presley vs jxl","a little less conversation","a little less conversation","a little less conversation","alittlelessconversation",NA,NA
"31","Garbage","Special",13,"Special","Garbage","Garbage","garbage","garbage","special","special","special","special",NA,NA
"32","Garth Brooks as Chris Gaines","Lost In You",10,"Lost In You","Garth","Gaines","garth brooks as chris gaines","garth brooks as chris gaines","lost in you","lost in you","lost in you","lostinyou",NA,NA
"33","Green Day","American Idiot",19,"American Idiot","Green","Day","green day","green day","american idiot","american idiot","american idiot","americanidiot",NA,NA
"34","Green Day","Boulevard Of Broken Dreams",5,"Boulevard Of Broken Dreams","Green","Day","green day","green day","boulevard of broken dreams","boulevard of broken dreams","boulevard of broken dreams","boulevardofbrokendreams",NA,NA
"35","Hanson","This Time Around",7,"This Time Around","Hanson","Hanson","hanson","hanson","this time around","this time around","this time around","thistimearound",NA,NA
