"","artist_no_featuring_lower","count"
"1","2gether",1
"2","all star tribute",1
"3","amanda perez",1
"4","american idol finalists",1
"5","atc",1
"6","b.g.",1
"7","baby",1
"8","bad boy's da band",1
"9","black rob",1
"10","changing faces",1
"11","clay davidson",1
"12","cool breeze",1
"13","daniel rodriguez",1
"14","david lee murphy",1
"15","dido",1
"16","divine",1
"17","drama",1
"18","dream",2
"19","emerson drive",1
"20","five",2
"21","foxy brown",1
"22","frankie j",1
"23","garth brooks",2
"24","george harrison",1
"25","glenn lewis",1
"26","good charlotte",4
"27","guy",1
"28","jadakiss",1
"29","jade anderson",1
"30","jeff bates",1
"31","jennifer hanson",1
"32","jessica andrews",1
"33","jojo",1
"34","jonell",1
"35","leslie carter",1
"36","lfo",5
"37","m.v.p. (most valuable playas)",1
"38","marc nelson",1
"39","mercedes",1
"40","method man",1
"41","next",2
"42","nu flavor",1
"43","olivia",1
"44","pat green",1
"45","santana",4
"46","soluna",1
"47","steve holy",1
"48","sting",1
"49","styles",1
"50","sunday",1
"51","tank",1
"52","the clark family experience",1
"53","the corrs",1
"54","the roots",1
"55","tim mcgraw",1
"56","tool",1
"57","trina",1
"58","tupac",1
"59","vitamin c",2
"60","whitney houston",1
