"","Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word","artist_lower","artist_no_featuring_lower","artist_no_featuring_lower_no_spec","track_lower","track_lower_no_brackets","track_lower_no_schar","track_lower_no_brackets_schar_ws","artist mbid"
"1","2Gether","The Hardest Part Of Breaking Up (Is Getting Back Your Stuff)",3,"The Hardest Part Of Breaking Up ","2Gether","2Gether","2gether","2gether","2gether","the hardest part of breaking up (is getting back your stuff)","the hardest part of breaking up ","the hardest part of breaking up ","thehardestpartofbreakingup",NA
"2","All Star Tribute","What's Going On",10,"What's Going On","All","Tribute","all star tribute","all star tribute","all star tribute","what's going on","what's going on","what s going on","whatsgoingon","a645c08f-613f-4ec0-bc8e-dd497fa29e7f"
"3","Amanda Perez","Never",16,"Never","Amanda","Perez","amanda perez","amanda perez","amanda perez","never","never","never","never","a9d92e4b-3f21-4b5c-9cd0-8cecbe8b5f5f"
"4","American Idol Finalists","God Bless The U.S.A.",8,"God Bless The U.S.A.","American","Finalists","american idol finalists","american idol finalists","american idol finalists","god bless the u.s.a.","god bless the u.s.a.","god bless the u s a ","godblesstheusa","47c8f88b-987a-4b64-9175-2b1b57809727"
"5","ATC","Around The World (La La La La La)",18,"Around The World ","ATC","ATC","atc","atc","atc","around the world (la la la la la)","around the world ","around the world ","aroundtheworld",NA
"6","B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne","Bling Bling",19,"Bling Bling","B","Wayne","b.g. featuring baby, turk, mannie fresh, juvenile & lil' wayne","b.g.","bg","bling bling","bling bling","bling bling","blingbling","34dc70df-8b2c-4bb0-a132-0958671a509c"
"7","Bad Boy's Da Band","Bad Boy This Bad Boy That",9,"Bad Boy This Bad Boy That","Bad","Band","bad boy's da band","bad boy's da band","bad boys da band","bad boy this bad boy that","bad boy this bad boy that","bad boy this bad boy that","badboythisbadboythat",NA
"8","Black Rob","Whoa!",17,"Whoa!","Black","Rob","black rob","black rob","black rob","whoa!","whoa!","whoa ","whoa","82537a62-9500-452d-af55-e6032a94134d"
"9","Changing Faces","That Other Woman",11,"That Other Woman","Changing","Faces","changing faces","changing faces","changing faces","that other woman","that other woman","that other woman","thatotherwoman",NA
"10","Clay Davidson","Unconditional",20,"Unconditional","Clay","Davidson","clay davidson","clay davidson","clay davidson","unconditional","unconditional","unconditional","unconditional",NA
"11","Cool Breeze Featuring OutKast, Goodie Mob & Witchdoctor","Watch For The Hook",10,"Watch For The Hook","Cool","Witchdoctor","cool breeze featuring outkast, goodie mob & witchdoctor","cool breeze","cool breeze","watch for the hook","watch for the hook","watch for the hook","watchforthehook","78b8d2a1-a260-4230-a793-ba559ab7bd8e"
"12","Daniel Rodriguez","God Bless America",2,"God Bless America","Daniel","Rodriguez","daniel rodriguez","daniel rodriguez","daniel rodriguez","god bless america","god bless america","god bless america","godblessamerica","8898cd01-b0c5-41bd-9699-0845fc73efc1"
"13","David Lee Murphy","Loco",18,"Loco","David","Murphy","david lee murphy","david lee murphy","david lee murphy","loco","loco","loco","loco",NA
"14","Dido","White Flag",41,"White Flag","Dido","Dido","dido","dido","dido","white flag","white flag","white flag","whiteflag","518531b7-cb73-4307-b13e-c716471539a8"
"15","Divine","One More Try",9,"One More Try","Divine","Divine","divine","divine","divine","one more try","one more try","one more try","onemoretry","9572db59-da29-4f9d-bc00-0287ee3386e9"
"16","Drama","Left, Right, Left",13,"Left, Right, Left","Drama","Drama","drama","drama","drama","left, right, left","left, right, left","left  right  left","leftrightleft",NA
"17","Dream","He Loves U Not",28,"He Loves U Not","Dream","Dream","dream","dream","dream","he loves u not","he loves u not","he loves u not","helovesunot","52aaceb8-6053-4130-ad98-1968be62e2c2"
"18","Dream","This Is Me",20,"This Is Me","Dream","Dream","dream","dream","dream","this is me","this is me","this is me","thisisme","52aaceb8-6053-4130-ad98-1968be62e2c2"
"19","Emerson Drive","Fall Into Me",20,"Fall Into Me","Emerson","Drive","emerson drive","emerson drive","emerson drive","fall into me","fall into me","fall into me","fallintome","5eba17b9-f67a-48e0-abc3-b9b0e98588b5"
"20","Five","It's The Things You Do",3,"It's The Things You Do","Five","Five","five","five","five","it's the things you do","it's the things you do","it s the things you do","itsthethingsyoudo","393dfb31-261d-4ae5-8bbe-4078a3b7bca9"
"21","Five","Slam Dunk",2,"Slam Dunk","Five","Five","five","five","five","slam dunk","slam dunk","slam dunk","slamdunk","393dfb31-261d-4ae5-8bbe-4078a3b7bca9"
"22","Foxy Brown","Hot Spot",6,"Hot Spot","Foxy","Brown","foxy brown","foxy brown","foxy brown","hot spot","hot spot","hot spot","hotspot","fd87374e-ffde-4d36-89a8-8a073f795666"
"23","Frankie J","Don't Wanna Try",20,"Don't Wanna Try","Frankie","J","frankie j","frankie j","frankie j","don't wanna try","don't wanna try","don t wanna try","dontwannatry","4ce2981f-08a9-4002-b4d3-29bc27816b8c"
"24","Garth Brooks","Do What You Gotta Do",6,"Do What You Gotta Do","Garth","Brooks","garth brooks","garth brooks","garth brooks","do what you gotta do","do what you gotta do","do what you gotta do","dowhatyougottado","b76645c5-78b0-4e4c-8f95-003f40013a45"
"25","Garth Brooks","Wild Horses",14,"Wild Horses","Garth","Brooks","garth brooks","garth brooks","garth brooks","wild horses","wild horses","wild horses","wildhorses","b76645c5-78b0-4e4c-8f95-003f40013a45"
"26","George Harrison","My Sweet Lord",1,"My Sweet Lord","George","Harrison","george harrison","george harrison","george harrison","my sweet lord","my sweet lord","my sweet lord","mysweetlord","2787bddf-6439-4c73-8162-5f4a1e5fa030"
"27","Glenn Lewis","Don't You Forget It",20,"Don't You Forget It","Glenn","Lewis","glenn lewis","glenn lewis","glenn lewis","don't you forget it","don't you forget it","don t you forget it","dontyouforgetit","8d552dfc-648f-401f-90de-e925013ca537"
"28","Good Charlotte","Girls And Boys",13,"Girls And Boys","Good","Charlotte","good charlotte","good charlotte","good charlotte","girls and boys","girls and boys","girls and boys","girlsandboys",NA
"29","Good Charlotte","Hold On",5,"Hold On","Good","Charlotte","good charlotte","good charlotte","good charlotte","hold on","hold on","hold on","holdon",NA
