"","artist_no_featuring_lower","count"
"1","112",5
"2","2gether",1
"3","311",1
"4","aaron lewis of staind",1
"5","alabama",3
"6","alan jackson",15
"7","amanda",1
"8","amber",1
"9","american idol finalists",1
"10","anthony hamilton",1
"11","atc",1
"12","avant",6
"13","b.g.",1
"14","baby",1
"15","babyface",1
"16","big",2
"17","bilal",1
"18","carl thomas",2
"19","case",2
"20","cassidy",2
"21","changing faces",1
"22","cher",3
"23","cherie",1
"24","chevelle",3
"25","choppa",1
"26","christina aguilera",11
"27","cold",1
"28","common",2
"29","cool breeze",1
"30","corey",1
"31","craig david",3
"32","creed",5
"33","crossfade",1
"34","d'angelo",2
"35","daft punk",1
"36","daniel rodriguez",1
"37","david ball",1
"38","de la soul",1
"39","default",1
"40","dem franchize boyz",1
"41","dido",1
"42","disturbed",1
"43","divine",1
"44","dmx",7
"45","donna summer",1
"46","drama",1
"47","dream",2
"48","elephant man",2
"49","elvis presley vs jxl",1
"50","emilia",1
"51","eve",8
"52","everything",1
"53","filter",2
"54","five",2
"55","foxy brown",1
"56","frankie j",1
"57","freeway",2
"58","garbage",1
"59","garth brooks as chris gaines",1
"60","gerald levert",3
"61","glenn lewis",1
"62","good charlotte",3
"63","green day",2
"64","guy",1
"65","hanson",1
"66","hole",2
"67","houston",1
"68","iio",1
"69","incubus",2
"70","jagged edge",5
"71","javier",1
"72","jet",2
"73","joe",7
"74","john mayer",4
"75","jojo",2
"76","jonell",1
"77","jordan knight",1
"78","josh turner",1
"79","julie roberts",1
"80","k-ci",3
"81","keith murray",1
"82","keith sweat",2
"83","kenny rogers",1
"84","leslie carter",1
"85","lfo",5
"86","lil' mo",3
"87","linkin park",8
"88","lionel richie",1
"89","lit",1
"90","lloyd",1
"91","lonestar",12
"92","loon",1
"93","m.v.p. (most valuable playas)",1
"94","marc anthony",4
"95","mario",3
"96","maroon 5",3
"97","mary mary",1
"98","mase",2
"99","maxwell",3
"100","mercedes",1
"101","method man",1
"102","michelle branch",4
"103","monica",7
"104","nelly",12
"105","next",2
"106","nitty",1
"107","nivea",4
"108","olivia",1
"109","orgy",1
"110","patti labelle",2
"111","paul mccartney",1
"112","phil collins",2
"113","pitbull",1
"114","puff daddy",2
"115","r.l.",1
"116","redman",1
"117","reina",1
"118","ricky martin",8
"119","ricky martin duet",1
"120","sade",1
"121","saliva",2
"122","sammie",1
"123","santana",2
"124","shaggy",2
"125","shyne",1
"126","silk",2
"127","slum village",2
"128","sole",1
"129","soluna",1
"130","sting",1
"131","sugar ray",3
"132","sunday",1
"133","switchfoot",2
"134","system of a down",3
"135","t.i.",4
"136","t.o.k.",1
"137","t.w.d.y.",1
"138","tamia",3
"139","tank",1
"140","tanto metro",1
"141","the killers",1
"142","the rolling stones",1
"143","three the... g. dep",1
"144","timbaland",1
"145","toby keith duet",1
"146","tool",1
"147","total",2
"148","toya",2
"149","tq",1
"150","train",4
"151","trick pony",2
"152","trina",3
"153","tweet",2
"154","usher",7
"155","usher and alicia keys",1
"156","violator",1
"157","vitamin c",3
"158","wc",1
"159","wyclef jean",3
"160","yasmeen",1
