"","Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word","artist_lower","artist_no_featuring_lower","track_lower","track_lower_no_brackets","track_lower_no_schar","track_lower_no_brackets_schar_ws","artist mbid"
"1","112","Peaches & Cream",29,"Peaches & Cream","112","112","112","112","peaches & cream","peaches & cream","peaches   cream","peachescream","e170e5d6-16ab-42a8-a2fc-38e8bbd908b9"
"2","112 Featuring Lil'z","Anywhere",25,"Anywhere","112","z","112 featuring lil'z","112","anywhere","anywhere","anywhere","anywhere","e170e5d6-16ab-42a8-a2fc-38e8bbd908b9"
"3","112 Featuring Ludacris","Hot & Wet",9,"Hot & Wet","112","Ludacris","112 featuring ludacris","112","hot & wet","hot & wet","hot   wet","hotwet","e170e5d6-16ab-42a8-a2fc-38e8bbd908b9"
"4","112 Featuring Mase","Love Me",6,"Love Me","112","Mase","112 featuring mase","112","love me","love me","love me","loveme","e170e5d6-16ab-42a8-a2fc-38e8bbd908b9"
"5","112 Featuring Super Cat","Na Na Na",6,"Na Na Na","112","Cat","112 featuring super cat","112","na na na","na na na","na na na","nanana","e170e5d6-16ab-42a8-a2fc-38e8bbd908b9"
"6","2Gether","The Hardest Part Of Breaking Up (Is Getting Back Your Stuff)",3,"The Hardest Part Of Breaking Up ","2Gether","2Gether","2gether","2gether","the hardest part of breaking up (is getting back your stuff)","the hardest part of breaking up ","the hardest part of breaking up ","thehardestpartofbreakingup","ff7cfbba-db61-4f61-88f2-c56c196ef3fa"
"7","311","Love Song",20,"Love Song","311","311","311","311","love song","love song","love song","lovesong","97f0be04-3f1b-4049-bb9b-9ce6d4d40bcc"
"8","Aaron Lewis Of Staind With Fred Durst","Outside",19,"Outside","Aaron","Durst","aaron lewis of staind with fred durst","aaron lewis of staind","outside","outside","outside","outside",NA
"9","Alabama","How Do You Fall In Love",1,"How Do You Fall In Love","Alabama","Alabama","alabama","alabama","how do you fall in love","how do you fall in love","how do you fall in love","howdoyoufallinlove","2f76bd85-ba19-4d80-9bb7-4555abe463c5"
"10","Alabama","Keepin' Up",8,"Keepin' Up","Alabama","Alabama","alabama","alabama","keepin' up","keepin' up","keepin  up","keepinup","2f76bd85-ba19-4d80-9bb7-4555abe463c5"
"11","Alabama Featuring 'N Sync","God Must Have Spent A Little More Time On You",20,"God Must Have Spent A Little More Time On You","Alabama","Sync","alabama featuring 'n sync","alabama","god must have spent a little more time on you","god must have spent a little more time on you","god must have spent a little more time on you","godmusthavespentalittlemoretimeonyou","2f76bd85-ba19-4d80-9bb7-4555abe463c5"
"12","Alan Jackson","Drive (For Daddy Gene)",20,"Drive ","Alan","Jackson","alan jackson","alan jackson","drive (for daddy gene)","drive ","drive ","drive","4cc1cb70-a4ea-4366-98d8-c5d7ce160797"
"13","Alan Jackson","Gone Crazy",13,"Gone Crazy","Alan","Jackson","alan jackson","alan jackson","gone crazy","gone crazy","gone crazy","gonecrazy","4cc1cb70-a4ea-4366-98d8-c5d7ce160797"
"14","Alan Jackson","Little Man",17,"Little Man","Alan","Jackson","alan jackson","alan jackson","little man","little man","little man","littleman","4cc1cb70-a4ea-4366-98d8-c5d7ce160797"
"15","Alan Jackson","Monday Morning Church",4,"Monday Morning Church","Alan","Jackson","alan jackson","alan jackson","monday morning church","monday morning church","monday morning church","mondaymorningchurch","4cc1cb70-a4ea-4366-98d8-c5d7ce160797"
"16","Alan Jackson","Pop A Top",17,"Pop A Top","Alan","Jackson","alan jackson","alan jackson","pop a top","pop a top","pop a top","popatop","4cc1cb70-a4ea-4366-98d8-c5d7ce160797"
"17","Alan Jackson","Remember When",20,"Remember When","Alan","Jackson","alan jackson","alan jackson","remember when","remember when","remember when","rememberwhen","4cc1cb70-a4ea-4366-98d8-c5d7ce160797"
"18","Alan Jackson","Right On The Money",8,"Right On The Money","Alan","Jackson","alan jackson","alan jackson","right on the money","right on the money","right on the money","rightonthemoney","4cc1cb70-a4ea-4366-98d8-c5d7ce160797"
"19","Alan Jackson","That'd Be Alright",20,"That'd Be Alright","Alan","Jackson","alan jackson","alan jackson","that'd be alright","that'd be alright","that d be alright","thatdbealright","4cc1cb70-a4ea-4366-98d8-c5d7ce160797"
"20","Alan Jackson","Too Much Of A Good Thing",13,"Too Much Of A Good Thing","Alan","Jackson","alan jackson","alan jackson","too much of a good thing","too much of a good thing","too much of a good thing","toomuchofagoodthing","4cc1cb70-a4ea-4366-98d8-c5d7ce160797"
"21","Alan Jackson","When Somebody Loves You",17,"When Somebody Loves You","Alan","Jackson","alan jackson","alan jackson","when somebody loves you","when somebody loves you","when somebody loves you","whensomebodylovesyou","4cc1cb70-a4ea-4366-98d8-c5d7ce160797"
"22","Alan Jackson","Where I Come From",20,"Where I Come From","Alan","Jackson","alan jackson","alan jackson","where i come from","where i come from","where i come from","whereicomefrom","4cc1cb70-a4ea-4366-98d8-c5d7ce160797"
"23","Alan Jackson","Where Were You (When The World Stopped Turning)",20,"Where Were You ","Alan","Jackson","alan jackson","alan jackson","where were you (when the world stopped turning)","where were you ","where were you ","wherewereyou","4cc1cb70-a4ea-4366-98d8-c5d7ce160797"
"24","Alan Jackson","Work In Progress",19,"Work In Progress","Alan","Jackson","alan jackson","alan jackson","work in progress","work in progress","work in progress","workinprogress","4cc1cb70-a4ea-4366-98d8-c5d7ce160797"
"25","Alan Jackson","www.memory",15,"www.memory","Alan","Jackson","alan jackson","alan jackson","www.memory","www.memory","www memory","wwwmemory","4cc1cb70-a4ea-4366-98d8-c5d7ce160797"
"26","Alan Jackson & Jimmy Buffett","It's Five O'Clock Somewhere",20,"It's Five O'Clock Somewhere","Alan","Buffett","alan jackson & jimmy buffett","alan jackson","it's five o'clock somewhere","it's five o'clock somewhere","it s five o clock somewhere","itsfiveoclocksomewhere","4cc1cb70-a4ea-4366-98d8-c5d7ce160797"
"27","Amanda","Everybody Doesn't",6,"Everybody Doesn't","Amanda","Amanda","amanda","amanda","everybody doesn't","everybody doesn't","everybody doesn t","everybodydoesnt","3c0eb318-d2ba-45aa-9077-b83746cc56da"
"28","Amber","Sexual (Li Da Di)",29,"Sexual ","Amber","Amber","amber","amber","sexual (li da di)","sexual ","sexual ","sexual","edf4954c-019c-4b09-ba81-c56ec3d859f9"
"29","American Idol Finalists","God Bless The U.S.A.",8,"God Bless The U.S.A.","American","Finalists","american idol finalists","american idol finalists","god bless the u.s.a.","god bless the u.s.a.","god bless the u s a ","godblesstheusa",NA
"30","Anthony Hamilton","Charlene",17,"Charlene","Anthony","Hamilton","anthony hamilton","anthony hamilton","charlene","charlene","charlene","charlene",NA
"31","ATC","Around The World (La La La La La)",18,"Around The World ","ATC","ATC","atc","atc","around the world (la la la la la)","around the world ","around the world ","aroundtheworld","c40a79e9-3b9e-492e-9469-0e5b952ad3e1"
"32","Avant","Don't Say No, Just Say Yes",4,"Don't Say No, Just Say Yes","Avant","Avant","avant","avant","don't say no, just say yes","don't say no, just say yes","don t say no  just say yes","dontsaynojustsayyes","0d67d7bb-f423-47a5-a508-d100f268f7b3"
"33","Avant","Don't Take Your Love Away",20,"Don't Take Your Love Away","Avant","Avant","avant","avant","don't take your love away","don't take your love away","don t take your love away","donttakeyourloveaway","0d67d7bb-f423-47a5-a508-d100f268f7b3"
"34","Avant","Makin' Good Love",20,"Makin' Good Love","Avant","Avant","avant","avant","makin' good love","makin' good love","makin  good love","makingoodlove","0d67d7bb-f423-47a5-a508-d100f268f7b3"
"35","Avant","Read Your Mind",26,"Read Your Mind","Avant","Avant","avant","avant","read your mind","read your mind","read your mind","readyourmind","0d67d7bb-f423-47a5-a508-d100f268f7b3"
"36","Avant","Separated",20,"Separated","Avant","Avant","avant","avant","separated","separated","separated","separated","0d67d7bb-f423-47a5-a508-d100f268f7b3"
"37","Avant Featuring KeKe Wyatt","My First Love",20,"My First Love","Avant","Wyatt","avant featuring keke wyatt","avant","my first love","my first love","my first love","myfirstlove","0d67d7bb-f423-47a5-a508-d100f268f7b3"
"38","B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne","Bling Bling",19,"Bling Bling","B","Wayne","b.g. featuring baby, turk, mannie fresh, juvenile & lil' wayne","b.g.","bling bling","bling bling","bling bling","blingbling","fd416588-35fd-494c-98b6-9015dda54779"
"39","Baby Featuring Clipse","What Happened To That Boy",11,"What Happened To That Boy","Baby","Clipse","baby featuring clipse","baby","what happened to that boy","what happened to that boy","what happened to that boy","whathappenedtothatboy","5a045b09-af06-4348-9ce6-d51b6a370770"
"40","Babyface","What If",15,"What If","Babyface","Babyface","babyface","babyface","what if","what if","what if","whatif","8456d033-2fff-4c6c-a359-5776f4d54b2c"
"41","Big & Rich","Save A Horse (Ride A Cowboy)",9,"Save A Horse ","Big","Rich","big & rich","big","save a horse (ride a cowboy)","save a horse ","save a horse ","saveahorse","89ad4ac3-39f7-470e-963a-56509c546377"
"42","Big & Rich","Wild West Show",9,"Wild West Show","Big","Rich","big & rich","big","wild west show","wild west show","wild west show","wildwestshow","89ad4ac3-39f7-470e-963a-56509c546377"
"43","Bilal","Soul Sista",14,"Soul Sista","Bilal","Bilal","bilal","bilal","soul sista","soul sista","soul sista","soulsista",NA
"44","Carl Thomas","Emotional",20,"Emotional","Carl","Thomas","carl thomas","carl thomas","emotional","emotional","emotional","emotional","4a138e60-128c-40d8-a789-02e5b4f6ad2d"
"45","Carl Thomas","Summer Rain",11,"Summer Rain","Carl","Thomas","carl thomas","carl thomas","summer rain","summer rain","summer rain","summerrain","4a138e60-128c-40d8-a789-02e5b4f6ad2d"
"46","Case","Happily Ever After",20,"Happily Ever After","Case","Case","case","case","happily ever after","happily ever after","happily ever after","happilyeverafter","e13d2935-8c42-4c0a-96d7-654062acf106"
"47","Case & Joe","Faded Pictures",19,"Faded Pictures","Case","Joe","case & joe","case","faded pictures","faded pictures","faded pictures","fadedpictures","e13d2935-8c42-4c0a-96d7-654062acf106"
"48","Cassidy Featuring Mashonda","Get No Better",12,"Get No Better","Cassidy","Mashonda","cassidy featuring mashonda","cassidy","get no better","get no better","get no better","getnobetter","6f2dfabb-f0bb-4801-a392-592489a148e7"
"49","Cassidy Featuring R. Kelly","Hotel",24,"Hotel","Cassidy","Kelly","cassidy featuring r. kelly","cassidy","hotel","hotel","hotel","hotel","6f2dfabb-f0bb-4801-a392-592489a148e7"
"50","Changing Faces","That Other Woman",11,"That Other Woman","Changing","Faces","changing faces","changing faces","that other woman","that other woman","that other woman","thatotherwoman","0b7988d8-44b7-4293-a963-3093e95aa3ae"
"51","Cher","Believe",29,"Believe","Cher","Cher","cher","cher","believe","believe","believe","believe","3d6e4b6d-2700-458c-9722-9021965a8164"
"52","Cher","Song For The Lonely",6,"Song For The Lonely","Cher","Cher","cher","cher","song for the lonely","song for the lonely","song for the lonely","songforthelonely","3d6e4b6d-2700-458c-9722-9021965a8164"
"53","Cher","Strong Enough",12,"Strong Enough","Cher","Cher","cher","cher","strong enough","strong enough","strong enough","strongenough","3d6e4b6d-2700-458c-9722-9021965a8164"
"54","Cherie","I'm Ready",2,"I'm Ready","Cherie","Cherie","cherie","cherie","i'm ready","i'm ready","i m ready","imready","4a444592-4c2a-4d3c-8e47-31d14f211fae"
"55","Chevelle","Send The Pain Below",20,"Send The Pain Below","Chevelle","Chevelle","chevelle","chevelle","send the pain below","send the pain below","send the pain below","sendthepainbelow","dbf0d18e-2952-4571-9114-b7c026bbe3ad"
"56","Chevelle","The Red",20,"The Red","Chevelle","Chevelle","chevelle","chevelle","the red","the red","the red","thered","dbf0d18e-2952-4571-9114-b7c026bbe3ad"
"57","Chevelle","Vitamin R (Leading Us Along)",6,"Vitamin R ","Chevelle","Chevelle","chevelle","chevelle","vitamin r (leading us along)","vitamin r ","vitamin r ","vitaminr","dbf0d18e-2952-4571-9114-b7c026bbe3ad"
"58","Choppa Featuring Master P","Choppa Style",6,"Choppa Style","Choppa","P","choppa featuring master p","choppa","choppa style","choppa style","choppa style","choppastyle","0799b33f-a019-4cd7-b047-6fd3e3b55528"
"59","Christina Aguilera","Come On Over Baby (All I Want Is You)",21,"Come On Over Baby ","Christina","Aguilera","christina aguilera","christina aguilera","come on over baby (all i want is you)","come on over baby ","come on over baby ","comeonoverbaby","f0fd56b1-a8b9-4b04-8ba9-2acd12cc96d6"
"60","Christina Aguilera","Fighter",20,"Fighter","Christina","Aguilera","christina aguilera","christina aguilera","fighter","fighter","fighter","fighter","f0fd56b1-a8b9-4b04-8ba9-2acd12cc96d6"
"61","Christina Aguilera","Genie In A Bottle",25,"Genie In A Bottle","Christina","Aguilera","christina aguilera","christina aguilera","genie in a bottle","genie in a bottle","genie in a bottle","genieinabottle","f0fd56b1-a8b9-4b04-8ba9-2acd12cc96d6"
