"","Artist","Track","Artist_no_featuring","artist_no_featuring_lower.x","artist_no_featuring_lower.y","track_lower_no_brackets.x","track_lower_no_brackets.y","track_lower_no_brackets_schar_ws.x","track_lower_no_brackets_schar_ws.y","artist mbid.x","artist mbid.y"
"1","'N Sync","(God Must Have Spent) A Little More Time On You","'N Sync","'n sync","'n sync"," a little more time on you"," a little more time on you","alittlemoretimeonyou","alittlemoretimeonyou","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2","'N Sync","(God Must Have Spent) A Little More Time On You","'N Sync","'n sync","'n sync"," a little more time on you"," a little more time on you","alittlemoretimeonyou","alittlemoretimeonyou","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"3","'N Sync","Bye Bye Bye","'N Sync","'n sync","'n sync","bye bye bye","bye bye bye","byebyebye","byebyebye","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"4","'N Sync","Bye Bye Bye","'N Sync","'n sync","'n sync","bye bye bye","bye bye bye ","byebyebye","byebyebye","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"5","'N Sync","Bye Bye Bye","'N Sync","'n sync","'n sync","bye bye bye","bye bye bye ","byebyebye","byebyebye","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"6","'N Sync","Bye Bye Bye","'N Sync","'n sync","'n sync","bye bye bye","bye bye bye ","byebyebye","byebyebye","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"7","'N Sync","Bye Bye Bye","'N Sync","'n sync","'n sync","bye bye bye","bye bye bye ","byebyebye","byebyebye","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"8","'N Sync","Bye Bye Bye","'N Sync","'n sync","'n sync","bye bye bye","bye bye bye ","byebyebye","byebyebye","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"9","'N Sync","Bye Bye Bye","'N Sync","'n sync","'n sync","bye bye bye","bye bye bye ","byebyebye","byebyebye","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"10","'N Sync","Bye Bye Bye","'N Sync","'n sync","'n sync","bye bye bye","bye bye bye ","byebyebye","byebyebye","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"11","'N Sync","Bye Bye Bye","'N Sync","'n sync","'n sync","bye bye bye","bye bye bye ","byebyebye","byebyebye","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"12","'N Sync","Bye Bye Bye","'N Sync","'n sync","'n sync","bye bye bye","bye bye bye ","byebyebye","byebyebye","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"13","'N Sync","Bye Bye Bye","'N Sync","'n sync","'n sync","bye bye bye","bye bye bye ","byebyebye","byebyebye","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"14","'N Sync","Bye Bye Bye","'N Sync","'n sync","'n sync","bye bye bye","bye bye bye ","byebyebye","byebyebye","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"15","'N Sync","Bye Bye Bye","'N Sync","'n sync","'n sync","bye bye bye","bye, bye, bye","byebyebye","byebyebye","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"16","'N Sync","Bye Bye Bye","'N Sync","'n sync","'n sync","bye bye bye","bye, bye, bye ","byebyebye","byebyebye","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
