Unnamed: 0,ISRC,spotify_ID,artist,song_title
1,USSM17100690,4qTJpFrrii9JzaZIDLCl1U,Spacer,Houston
2,USSM17100690,5LJiob1ITWkVEIG7FyNPrZ,Batidos,Óya
3,USSM17100690,3Clh81PP0PGtzGgE59tNPi,Warren Zevon,Hostage-O
4,USSM17100690,3n5HiFiHQx8nCOLlwYdJe1,Crowbar,Odd Fellows Rest
5,USSM17100690,4wCdMKD2jbfKRwk3QKyPUd,George Benson,Full Compass
6,USSM17100690,1P0JNKIoccHV2ubsRabFjD,Oneida,Dead Worlds
7,USSM17100690,2fX61zkOZTolmDwof4J5ZS,Paul Simon,Have a Good Time
8,USSM17100690,6FkjsuKYP3DzWOhHOIGlRw,Wolfgang Amadeus Mozart,"String Quintet in C Minor, K.406 (After K.388): 2. Andante"
9,USSM17100690,6ydbS6OQTSPPMbclBBHsaR,Billie Holiday,Long Gone Blues
10,USSM17100690,3NDlVsa9QHL58ZJe5tBz3p,Matt Suggs,Calm Down
11,USSM17100690,06vzVAyXyBMK2OQ1xjChv7,Juanes,La Paga - Radio Version
12,USSM17100690,7CjmmU66KwfxjrWpWFtYFM,Ella Fitzgerald,Just Another Rhumba
13,USSM17100690,28bK6YSdSRdnHtn370oteh,Goat,I Will Fly
14,USSM17100690,5pS9qkL2CBKDurzwLvz9ix,Robert Shaw,Robert Shaw Discusses Dvořák's Stabat Mater with Martin Goldsmith of National Public Radio
15,USSM17100690,46BUhG1Aj1LVOGs48p0wKg,They Might Be Giants,Put Your Hand Inside the Puppet Head
16,USSM17100690,1vohldL4EkCBTorTc8IIao,Stereo Total,Holiday Inn
17,USSM17100690,0ym1YM2OBlTnilCPFTPANt,Armen Donelian,Blues Montage
18,USSM17100690,1SoA33XNAg8Gz3LvkM0omm,Jackson Browne,Casino Nation
19,USSM17100690,07fFkussyffUYaLcxuC5sc,IIIrd Tyme Out,"Lovin' You, Goin' Blind"
20,USSM17100690,4YaLvfrmIv8RFYfJsLF4TV,Novembers Doom,The Jealous Sun
21,USSM17100690,1D8uCAozUw1PCBfr7Aw6lv,Devin Townsend,Material
22,USSM17100690,43BGSUnT6ziYkrJXQzSEaL,Starsailor,Shark Food
23,USSM17100690,0iZ9JV5UWiSq57JXvW8iwg,The Mamas & The Papas,The Right Somebody To Love
24,USSM17100690,3Ky5ccyYevty9rasKVmOvM,Halfway Home,End Over
25,USSM17100690,2HVIkeN6RFE0nGiydxIP4I,Black Rebel Motorcycle Club,Restless Sinner
26,USSM17100690,1uJzI9YSOxrtYVhEB57FhA,Alban Berg,Sieben frühe Lieder: 7. Sommertage
27,USSM17100690,6P6Jqcll0RzIabZ68ZMAIV,Pickin' On Series,Numb
28,USSM17100690,1YVGmFUZO1neVfwT2pjrmk,Björk,I've Seen It All
