"","Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word","artist_lower","artist_no_featuring_lower","track_lower","track_lower_no_brackets","track_lower_no_schar","track_lower_no_brackets_schar_ws","artist_mbid","artist_lower_no_brackets","artist_lower_no_brackets_schar","artist_lower_no_brackets_schar_ws"
"1","'N Sync","Bye Bye Bye",23,"Bye Bye Bye","N","Sync","'n sync","'n sync","bye bye bye","bye bye bye","bye bye bye","byebyebye","603ba565-3967-4be1-931e-9cb945394e86","'n sync","nsync","nsync"
"2","'N Sync","Gone",24,"Gone","N","Sync","'n sync","'n sync","gone","gone","gone","gone","603ba565-3967-4be1-931e-9cb945394e86","'n sync","nsync","nsync"
"3","'N Sync","It's Gonna Be Me",25,"It's Gonna Be Me","N","Sync","'n sync","'n sync","it's gonna be me","it's gonna be me","it s gonna be me","itsgonnabeme","603ba565-3967-4be1-931e-9cb945394e86","'n sync","nsync","nsync"
"4","'N Sync","Pop",15,"Pop","N","Sync","'n sync","'n sync","pop","pop","pop","pop","603ba565-3967-4be1-931e-9cb945394e86","'n sync","nsync","nsync"
"5","'N Sync","This I Promise You",26,"This I Promise You","N","Sync","'n sync","'n sync","this i promise you","this i promise you","this i promise you","thisipromiseyou","603ba565-3967-4be1-931e-9cb945394e86","'n sync","nsync","nsync"
"6","'N Sync & Gloria Estefan","Music Of My Heart",20,"Music Of My Heart","N","Estefan","'n sync & gloria estefan","'n sync","music of my heart","music of my heart","music of my heart","musicofmyheart","603ba565-3967-4be1-931e-9cb945394e86","'n sync & gloria estefan","nsyncgloriaestefan","nsyncgloriaestefan"
"7","112","Peaches & Cream",29,"Peaches & Cream","112","112","112","112","peaches & cream","peaches & cream","peaches   cream","peachescream","e170e5d6-16ab-42a8-a2fc-38e8bbd908b9","112","112","112"
"8","112 Featuring Lil'z","Anywhere",25,"Anywhere","112","z","112 featuring lil'z","112","anywhere","anywhere","anywhere","anywhere","e170e5d6-16ab-42a8-a2fc-38e8bbd908b9","112 featuring lil'z","112featuringlilz","112featuringlilz"
"9","112 Featuring Ludacris","Hot & Wet",9,"Hot & Wet","112","Ludacris","112 featuring ludacris","112","hot & wet","hot & wet","hot   wet","hotwet","e170e5d6-16ab-42a8-a2fc-38e8bbd908b9","112 featuring ludacris","112featuringludacris","112featuringludacris"
"10","112 Featuring Mase","Love Me",6,"Love Me","112","Mase","112 featuring mase","112","love me","love me","love me","loveme","e170e5d6-16ab-42a8-a2fc-38e8bbd908b9","112 featuring mase","112featuringmase","112featuringmase"
"11","112 Featuring Super Cat","Na Na Na",6,"Na Na Na","112","Cat","112 featuring super cat","112","na na na","na na na","na na na","nanana","e170e5d6-16ab-42a8-a2fc-38e8bbd908b9","112 featuring super cat","112featuringsupercat","112featuringsupercat"
"12","2Gether","The Hardest Part Of Breaking Up (Is Getting Back Your Stuff)",3,"The Hardest Part Of Breaking Up ","2Gether","2Gether","2gether","2gether","the hardest part of breaking up (is getting back your stuff)","the hardest part of breaking up ","the hardest part of breaking up ","thehardestpartofbreakingup",NA,"2gether","2gether","2gether"
"13","2Pac","Changes",15,"Changes","2Pac","2Pac","2pac","2pac","changes","changes","changes","changes","382f1005-e9ab-4684-afd4-0bdae4ee37f2","2pac","2pac","2pac"
"14","2Pac","Thugz Mansion",20,"Thugz Mansion","2Pac","2Pac","2pac","2pac","thugz mansion","thugz mansion","thugz mansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","2pac","2pac","2pac"
"15","2Pac","Until The End Of Time",14,"Until The End Of Time","2Pac","2Pac","2pac","2pac","until the end of time","until the end of time","until the end of time","untiltheendoftime","382f1005-e9ab-4684-afd4-0bdae4ee37f2","2pac","2pac","2pac"
"16","2Pac + Outlawz","Baby Don't Cry (Keep Ya Head Up II)",7,"Baby Don't Cry ","2Pac","Outlawz","2pac + outlawz","2pac","baby don't cry (keep ya head up ii)","baby don't cry ","baby don t cry ","babydontcry","382f1005-e9ab-4684-afd4-0bdae4ee37f2","2pac + outlawz","2pacoutlawz","2pacoutlawz"
"17","2Pac Featuring Trick Daddy","Still Ballin",20,"Still Ballin","2Pac","Daddy","2pac featuring trick daddy","2pac","still ballin","still ballin","still ballin","stillballin","382f1005-e9ab-4684-afd4-0bdae4ee37f2","2pac featuring trick daddy","2pacfeaturingtrickdaddy","2pacfeaturingtrickdaddy"
"18","311","Love Song",20,"Love Song","311","311","311","311","love song","love song","love song","lovesong","97f0be04-3f1b-4049-bb9b-9ce6d4d40bcc","311","311","311"
"19","50 Cent","Disco Inferno",3,"Disco Inferno","50","Cent","50 cent","50 cent","disco inferno","disco inferno","disco inferno","discoinferno","8e68819d-71be-4e7d-b41d-f1df81b01d3f","50 cent","50cent","50cent"
"20","98 Degrees","Give Me Just One Night (Una Noche)",20,"Give Me Just One Night ","98","Degrees","98 degrees","98 degrees","give me just one night (una noche)","give me just one night ","give me just one night ","givemejustonenight","177fde26-5a95-46d9-922f-0933940d97e5","98 degrees","98degrees","98degrees"
"21","98 Degrees","My Everything",20,"My Everything","98","Degrees","98 degrees","98 degrees","my everything","my everything","my everything","myeverything","177fde26-5a95-46d9-922f-0933940d97e5","98 degrees","98degrees","98degrees"
"22","A Perfect Circle","The Outsider",5,"The Outsider","A","Circle","a perfect circle","a perfect circle","the outsider","the outsider","the outsider","theoutsider","078a9376-3c04-4280-b7d7-b20e158f345d","a perfect circle","aperfectcircle","aperfectcircle"
"23","A Perfect Circle","Weak And Powerless",18,"Weak And Powerless","A","Circle","a perfect circle","a perfect circle","weak and powerless","weak and powerless","weak and powerless","weakandpowerless","078a9376-3c04-4280-b7d7-b20e158f345d","a perfect circle","aperfectcircle","aperfectcircle"
"24","Aaliyah","Are You That Somebody?",4,"Are You That Somebody?","Aaliyah","Aaliyah","aaliyah","aaliyah","are you that somebody?","are you that somebody?","are you that somebody ","areyouthatsomebody","bc85da58-52d9-457d-ae8d-5d8d4ec870a9","aaliyah","aaliyah","aaliyah"
