"Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word","track_lower","artist_lower","track_lower_no_brackets","track_lower_no_schar","track_lower_no_brackets_schar_ws","track_lower_no_brackets_ws","artist_lower_no_brackets","artist_lower_no_bracket_schar","artist_lower_no_bracket_schar_ws","tracks_artists"
"'N Sync","(God Must Have Spent) A Little More Time On You",18," A Little More Time On You","N","Sync","(god must have spent) a little more time on you","'n sync"," a little more time on you"," a little more time on you","alittlemoretimeonyou","alittlemoretimeonyou","'n sync"," n sync","nsync","alittlemoretimeonyou alittlemoretimeonyou"
"'N Sync","Gone",24,"Gone","N","Sync","gone","'n sync","gone","gone","gone","gone","'n sync"," n sync","nsync","gone gone"
"'N Sync","I Drive Myself Crazy",12,"I Drive Myself Crazy","N","Sync","i drive myself crazy","'n sync","i drive myself crazy","i drive myself crazy","idrivemyselfcrazy","idrivemyselfcrazy","'n sync"," n sync","nsync","idrivemyselfcrazy idrivemyselfcrazy"
"'N Sync","It's Gonna Be Me",25,"It's Gonna Be Me","N","Sync","it's gonna be me","'n sync","it's gonna be me","it s gonna be me","itsgonnabeme","it'sgonnabeme","'n sync"," n sync","nsync","it'sgonnabeme itsgonnabeme"
"'N Sync","Pop",15,"Pop","N","Sync","pop","'n sync","pop","pop","pop","pop","'n sync"," n sync","nsync","pop pop"
"'N Sync","This I Promise You",26,"This I Promise You","N","Sync","this i promise you","'n sync","this i promise you","this i promise you","thisipromiseyou","thisipromiseyou","'n sync"," n sync","nsync","thisipromiseyou thisipromiseyou"
"2Gether","The Hardest Part Of Breaking Up (Is Getting Back Your Stuff)",3,"The Hardest Part Of Breaking Up ","2Gether","2Gether","the hardest part of breaking up (is getting back your stuff)","2gether","the hardest part of breaking up ","the hardest part of breaking up ","thehardestpartofbreakingup","thehardestpartofbreakingup","2gether","2gether","2gether","thehardestpartofbreakingup thehardestpartofbreakingup"
"98 Degrees","I Do (Cherish You)",20,"I Do ","98","Degrees","i do (cherish you)","98 degrees","i do ","i do ","ido","ido","98 degrees","98 degrees","98degrees","ido ido"
"98 Degrees","My Everything",20,"My Everything","98","Degrees","my everything","98 degrees","my everything","my everything","myeverything","myeverything","98 degrees","98 degrees","98degrees","myeverything myeverything"
"Alabama Featuring 'N Sync","God Must Have Spent A Little More Time On You",20,"God Must Have Spent A Little More Time On You","Alabama","Sync","god must have spent a little more time on you","alabama featuring 'n sync","god must have spent a little more time on you","god must have spent a little more time on you","godmusthavespentalittlemoretimeonyou","godmusthavespentalittlemoretimeonyou","alabama featuring 'n sync","alabama featuring  n sync","alabamafeaturingnsync","godmusthavespentalittlemoretimeonyou godmusthavespentalittlemoretimeonyou"
"American Idol Finalists","God Bless The U.S.A.",8,"God Bless The U.S.A.","American","Finalists","god bless the u.s.a.","american idol finalists","god bless the u.s.a.","god bless the u s a ","godblesstheusa","godblesstheu.s.a.","american idol finalists","american idol finalists","americanidolfinalists","godblesstheu.s.a. godblesstheusa"
"Avant Featuring KeKe Wyatt","My First Love",20,"My First Love","Avant","Wyatt","my first love","avant featuring keke wyatt","my first love","my first love","myfirstlove","myfirstlove","avant featuring keke wyatt","avant featuring keke wyatt","avantfeaturingkekewyatt","myfirstlove myfirstlove"
"B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne","Bling Bling",19,"Bling Bling","B","Wayne","bling bling","b.g. featuring baby, turk, mannie fresh, juvenile & lil' wayne","bling bling","bling bling","blingbling","blingbling","b.g. featuring baby, turk, mannie fresh, juvenile & lil' wayne","b g  featuring baby  turk  mannie fresh  juvenile   lil  wayne","bgfeaturingbabyturkmanniefreshjuvenilelilwayne","blingbling blingbling"
"Blink-182","The Rock Show",9,"The Rock Show","Blink","182","the rock show","blink-182","the rock show","the rock show","therockshow","therockshow","blink-182","blink 182","blink182","therockshow therockshow"
"Blink-182","What's My Age Again?",20,"What's My Age Again?","Blink","182","what's my age again?","blink-182","what's my age again?","what s my age again ","whatsmyageagain","what'smyageagain?","blink-182","blink 182","blink182","what'smyageagain? whatsmyageagain"
"Body Head Bangerz Featuring YoungBloodz","I Smoke, I Drank",9,"I Smoke, I Drank","Body","YoungBloodz","i smoke, i drank","body head bangerz featuring youngbloodz","i smoke, i drank","i smoke  i drank","ismokeidrank","ismoke,idrank","body head bangerz featuring youngbloodz","body head bangerz featuring youngbloodz","bodyheadbangerzfeaturingyoungbloodz","ismoke,idrank ismokeidrank"
