"Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word"
"'N Sync","(God Must Have Spent) A Little More Time On You",18," A Little More Time On You","N","Sync"
"'N Sync","Bye Bye Bye",23,"Bye Bye Bye","N","Sync"
"'N Sync","Gone",24,"Gone","N","Sync"
"'N Sync","I Drive Myself Crazy",12,"I Drive Myself Crazy","N","Sync"
"'N Sync","It's Gonna Be Me",25,"It's Gonna Be Me","N","Sync"
"'N Sync","Pop",15,"Pop","N","Sync"
"'N Sync","This I Promise You",26,"This I Promise You","N","Sync"
"'N Sync & Gloria Estefan","Music Of My Heart",20,"Music Of My Heart","N","Estefan"
"'N Sync Featuring Nelly","Girlfriend",20,"Girlfriend","N","Nelly"
"112","Dance With Me",20,"Dance With Me","112","112"
"112","It's Over Now",20,"It's Over Now","112","112"
"112","Peaches & Cream",29,"Peaches & Cream","112","112"
"112 Featuring Lil'z","Anywhere",25,"Anywhere","112","z"
"112 Featuring Ludacris","Hot & Wet",9,"Hot & Wet","112","Ludacris"
"112 Featuring Mase","Love Me",6,"Love Me","112","Mase"
"112 Featuring Super Cat","Na Na Na",6,"Na Na Na","112","Cat"
"2Gether","The Hardest Part Of Breaking Up (Is Getting Back Your Stuff)",3,"The Hardest Part Of Breaking Up ","2Gether","2Gether"
"2Pac","Changes",15,"Changes","2Pac","2Pac"
"2Pac","Thugz Mansion",20,"Thugz Mansion","2Pac","2Pac"
"2Pac","Until The End Of Time",14,"Until The End Of Time","2Pac","2Pac"
"2Pac + Outlawz","Baby Don't Cry (Keep Ya Head Up II)",7,"Baby Don't Cry ","2Pac","Outlawz"
"2Pac Featuring Trick Daddy","Still Ballin",20,"Still Ballin","2Pac","Daddy"
"3 Doors Down","Away From The Sun",15,"Away From The Sun","3","Down"
"3 Doors Down","Be Like That",21,"Be Like That","3","Down"
"3 Doors Down","Here Without You",51,"Here Without You","3","Down"
"3 Doors Down","Kryptonite",53,"Kryptonite","3","Down"
"3 Doors Down","Loser",20,"Loser","3","Down"
"3 Doors Down","When I'm Gone",45,"When I'm Gone","3","Down"
"311","Love Song",20,"Love Song","311","311"
"3LW","No More (Baby I'ma Do Right)",25,"No More ","3LW","3LW"
"3LW","Playas Gon' Play",7,"Playas Gon' Play","3LW","3LW"
"3LW Featuring P. Diddy & Loon","I Do (Wanna Get Close To You)",14,"I Do ","3LW","Loon"
"50 Cent","Disco Inferno",3,"Disco Inferno","50","Cent"
"50 Cent","If I Can't",8,"If I Can't","50","Cent"
"50 Cent","In Da Club",30,"In Da Club","50","Cent"
"50 Cent","P.I.M.P.",25,"P.I.M.P.","50","Cent"
"50 Cent","Wanksta",20,"Wanksta","50","Cent"
"50 Cent Featuring Nate Dogg","21 Questions",23,"21 Questions","50","Dogg"
"504 Boyz","Wobble Wobble",18,"Wobble Wobble","504","Boyz"
"702","Where My Girls At?",42,"Where My Girls At?","702","702"
"98 Degrees","Because Of You",7,"Because Of You","98","Degrees"
"98 Degrees","Give Me Just One Night (Una Noche)",20,"Give Me Just One Night ","98","Degrees"
"98 Degrees","I Do (Cherish You)",20,"I Do ","98","Degrees"
"98 Degrees","My Everything",20,"My Everything","98","Degrees"
"98 Degrees","The Hardest Thing",24,"The Hardest Thing","98","Degrees"
"98 Degrees","This Gift",3,"This Gift","98","Degrees"
"A Perfect Circle","The Outsider",5,"The Outsider","A","Circle"
"A Perfect Circle","Weak And Powerless",18,"Weak And Powerless","A","Circle"
"A*Teens","Bouncing Off The Ceiling (Upside Down)",3,"Bouncing Off The Ceiling ","A","Teens"
"A*Teens","Dancing Queen",5,"Dancing Queen","A","Teens"
"Aaliyah","Are You That Somebody?",4,"Are You That Somebody?","Aaliyah","Aaliyah"
"Aaliyah","Come Over",20,"Come Over","Aaliyah","Aaliyah"
"Aaliyah","I Care 4 U",20,"I Care 4 U","Aaliyah","Aaliyah"
"Aaliyah","I Don't Wanna",20,"I Don't Wanna","Aaliyah","Aaliyah"
"Aaliyah","Miss You",30,"Miss You","Aaliyah","Aaliyah"
"Aaliyah","More Than A Woman",24,"More Than A Woman","Aaliyah","Aaliyah"
"Aaliyah","Rock The Boat",25,"Rock The Boat","Aaliyah","Aaliyah"
"Aaliyah","Try Again",32,"Try Again","Aaliyah","Aaliyah"
"Aaliyah Featuring Timbaland","We Need A Resolution",16,"We Need A Resolution","Aaliyah","Timbaland"
"Aaron Carter","Aaron's Party (Come Get It)",15,"Aaron's Party ","Aaron","Carter"
"Aaron Carter","That's How I Beat Shaq",2,"That's How I Beat Shaq","Aaron","Carter"
"Aaron Hall","All The Places (I Will Kiss You)",5,"All The Places ","Aaron","Hall"
"Aaron Lewis Of Staind With Fred Durst","Outside",19,"Outside","Aaron","Durst"
"Aaron Lines","You Can't Hide Beautiful",17,"You Can't Hide Beautiful","Aaron","Lines"
"Aaron Tippin","For You I Will",8,"For You I Will","Aaron","Tippin"
"Aaron Tippin","I'm Leaving",3,"I'm Leaving","Aaron","Tippin"
"Aaron Tippin","Kiss This",20,"Kiss This","Aaron","Tippin"
"Aaron Tippin","Where The Stars And Stripes And The Eagle Fly",20,"Where The Stars And Stripes And The Eagle Fly","Aaron","Tippin"
"Adam Sandler","The Chanukah Song",2,"The Chanukah Song","Adam","Sandler"
"Aerosmith","I Don't Want To Miss A Thing",3,"I Don't Want To Miss A Thing","Aerosmith","Aerosmith"
"Aerosmith","Jaded",20,"Jaded","Aerosmith","Aerosmith"
"Afroman","Because I Got High",10,"Because I Got High","Afroman","Afroman"
"Akon Featuring Styles P.","Locked Up",27,"Locked Up","Akon","Akon Featuring Styles P."
"Alabama","How Do You Fall In Love",1,"How Do You Fall In Love","Alabama","Alabama"
"Alabama","Keepin' Up",8,"Keepin' Up","Alabama","Alabama"
"Alabama Featuring 'N Sync","God Must Have Spent A Little More Time On You",20,"God Must Have Spent A Little More Time On You","Alabama","Sync"
"Alan Jackson","Drive (For Daddy Gene)",20,"Drive ","Alan","Jackson"
"Alan Jackson","Gone Crazy",13,"Gone Crazy","Alan","Jackson"
"Alan Jackson","It Must Be Love",20,"It Must Be Love","Alan","Jackson"
"Alan Jackson","Little Man",17,"Little Man","Alan","Jackson"
"Alan Jackson","Monday Morning Church",4,"Monday Morning Church","Alan","Jackson"
"Alan Jackson","Pop A Top",17,"Pop A Top","Alan","Jackson"
"Alan Jackson","Remember When",20,"Remember When","Alan","Jackson"
"Alan Jackson","Right On The Money",8,"Right On The Money","Alan","Jackson"
"Alan Jackson","That'd Be Alright",20,"That'd Be Alright","Alan","Jackson"
"Alan Jackson","Too Much Of A Good Thing",13,"Too Much Of A Good Thing","Alan","Jackson"
"Alan Jackson","When Somebody Loves You",17,"When Somebody Loves You","Alan","Jackson"
"Alan Jackson","Where I Come From",20,"Where I Come From","Alan","Jackson"
