"Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word","track_lower.x","artist_lower.x","track_lower_no_schar.x","track_lower_no_brackets.x","track_lower_no_schar_ws.x","track_lower_no_brackets_ws.x","track_lower_no_brackets_schar","track_lower_no_brackets_schar_ws","track_artists","tracks_artists.x","recording.title","recording.artist.credit.phrase","track_lower.y","artist_lower.y","track_lower_no_schar.y","track_lower_no_brackets.y","track_lower_no_schar_ws.y","track_lower_no_brackets_ws.y","artist_lower_no_bracket","artist_lower_no_bracket_schar","artist_lower_no_bracket_schar_ws","tracks_artists.y","distance"
"'N Sync","(God Must Have Spent) A Little More Time On You",18," A Little More Time On You","N","Sync","(god must have spent) a little more time on you","'n sync"," god must have spent  a little more time on you","'n sync","godmusthavespentalittlemoretimeonyou","alittlemoretimeonyou","nsync","nsync","alittlemoretimeonyou nsync","alittlemoretimeonyou nsync",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"'N Sync","Bye Bye Bye",23,"Bye Bye Bye","N","Sync","bye bye bye","'n sync","bye bye bye","'n sync","byebyebye","byebyebye","nsync","nsync","byebyebye nsync","byebyebye nsync","Bye Bye Bye","N-SYNC","bye bye bye","n-sync","bye bye bye","bye bye bye","byebyebye","byebyebye","n-sync","nsync","nsync","byebyebye nsync",0
"'N Sync","Bye Bye Bye",23,"Bye Bye Bye","N","Sync","bye bye bye","'n sync","bye bye bye","'n sync","byebyebye","byebyebye","nsync","nsync","byebyebye nsync","byebyebye nsync","Bye Bye Bye (remix)","N-Sync","bye bye bye (remix)","n-sync","bye bye bye  remix ","bye bye bye ","byebyebyeremix","byebyebye","n-sync","nsync","nsync","byebyebye nsync",0
"'N Sync","Gone",24,"Gone","N","Sync","gone","'n sync","gone","'n sync","gone","gone","nsync","nsync","gone nsync","gone nsync",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"'N Sync","I Drive Myself Crazy",12,"I Drive Myself Crazy","N","Sync","i drive myself crazy","'n sync","i drive myself crazy","'n sync","idrivemyselfcrazy","idrivemyselfcrazy","nsync","nsync","idrivemyselfcrazy nsync","idrivemyselfcrazy nsync",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"'N Sync","It's Gonna Be Me",25,"It's Gonna Be Me","N","Sync","it's gonna be me","'n sync","it s gonna be me","'n sync","itsgonnabeme","it'sgonnabeme","nsync","nsync","it'sgonnabeme nsync","it'sgonnabeme nsync",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"'N Sync","Pop",15,"Pop","N","Sync","pop","'n sync","pop","'n sync","pop","pop","nsync","nsync","pop nsync","pop nsync",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"'N Sync","This I Promise You",26,"This I Promise You","N","Sync","this i promise you","'n sync","this i promise you","'n sync","thisipromiseyou","thisipromiseyou","nsync","nsync","thisipromiseyou nsync","thisipromiseyou nsync",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"'N Sync & Gloria Estefan","Music Of My Heart",20,"Music Of My Heart","N","Estefan","music of my heart","'n sync & gloria estefan","music of my heart","'n sync & gloria estefan","musicofmyheart","musicofmyheart","nsyncgloriaestefan","nsyncgloriaestefan","musicofmyheart nsyncgloriaestefan","musicofmyheart nsyncgloriaestefan","Music of My Heart","Gloria Estefan","music of my heart","gloria estefan","music of my heart","music of my heart","musicofmyheart","musicofmyheart","gloria estefan","gloriaestefan","gloriaestefan","musicofmyheart gloriaestefan",5
"'N Sync & Gloria Estefan","Music Of My Heart",20,"Music Of My Heart","N","Estefan","music of my heart","'n sync & gloria estefan","music of my heart","'n sync & gloria estefan","musicofmyheart","musicofmyheart","nsyncgloriaestefan","nsyncgloriaestefan","musicofmyheart nsyncgloriaestefan","musicofmyheart nsyncgloriaestefan","Music of My Heart (Lawrence Dermer remix)","*NSYNC & Gloria Estefan","music of my heart (lawrence dermer remix)","*nsync & gloria estefan","music of my heart  lawrence dermer remix ","music of my heart ","musicofmyheartlawrencedermerremix","musicofmyheart","*nsync & gloria estefan","nsyncgloriaestefan","nsyncgloriaestefan","musicofmyheart nsyncgloriaestefan",0
