"Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word","track_lower.x","artist_lower.x","track_lower_no_schar.x","track_lower_no_brackets.x","track_lower_no_schar_ws.x","track_lower_no_brackets_ws.x","track_lower_no_brackets_schar","track_lower_no_brackets_schar_ws","track_artists","tracks_artists.x","recording.title","recording.artist.credit.phrase","track_lower.y","artist_lower.y","track_lower_no_schar.y","track_lower_no_brackets.y","track_lower_no_schar_ws.y","track_lower_no_brackets_ws.y","artist_lower_no_bracket","artist_lower_no_bracket_schar","artist_lower_no_bracket_schar_ws","tracks_artists.y"
"'N Sync","(God Must Have Spent) A Little More Time On You",18," A Little More Time On You","N","Sync","(god must have spent) a little more time on you","'n sync"," god must have spent  a little more time on you","'n sync","godmusthavespentalittlemoretimeonyou","alittlemoretimeonyou","nsync","nsync","alittlemoretimeonyou nsync","alittlemoretimeonyou nsync",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"'N Sync","Gone",24,"Gone","N","Sync","gone","'n sync","gone","'n sync","gone","gone","nsync","nsync","gone nsync","gone nsync",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"'N Sync","I Drive Myself Crazy",12,"I Drive Myself Crazy","N","Sync","i drive myself crazy","'n sync","i drive myself crazy","'n sync","idrivemyselfcrazy","idrivemyselfcrazy","nsync","nsync","idrivemyselfcrazy nsync","idrivemyselfcrazy nsync",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"'N Sync","It's Gonna Be Me",25,"It's Gonna Be Me","N","Sync","it's gonna be me","'n sync","it s gonna be me","'n sync","itsgonnabeme","it'sgonnabeme","nsync","nsync","it'sgonnabeme nsync","it'sgonnabeme nsync",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"'N Sync","Pop",15,"Pop","N","Sync","pop","'n sync","pop","'n sync","pop","pop","nsync","nsync","pop nsync","pop nsync",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"'N Sync","This I Promise You",26,"This I Promise You","N","Sync","this i promise you","'n sync","this i promise you","'n sync","thisipromiseyou","thisipromiseyou","nsync","nsync","thisipromiseyou nsync","thisipromiseyou nsync",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112 Featuring Super Cat","Na Na Na",6,"Na Na Na","112","Cat","na na na","112 featuring super cat","na na na","112 featuring super cat","nanana","nanana","112featuringsupercat","112featuringsupercat","nanana 112featuringsupercat","nanana 112featuringsupercat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2Gether","The Hardest Part Of Breaking Up (Is Getting Back Your Stuff)",3,"The Hardest Part Of Breaking Up ","2Gether","2Gether","the hardest part of breaking up (is getting back your stuff)","2gether","the hardest part of breaking up  is getting back your stuff ","2gether","thehardestpartofbreakingupisgettingbackyourstuff","thehardestpartofbreakingup","2gether","2gether","thehardestpartofbreakingup 2gether","thehardestpartofbreakingup 2gether",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98 Degrees","I Do (Cherish You)",20,"I Do ","98","Degrees","i do (cherish you)","98 degrees","i do  cherish you ","98 degrees","idocherishyou","ido","98degrees","98degrees","ido 98degrees","ido 98degrees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98 Degrees","My Everything",20,"My Everything","98","Degrees","my everything","98 degrees","my everything","98 degrees","myeverything","myeverything","98degrees","98degrees","myeverything 98degrees","myeverything 98degrees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aaliyah","Come Over",20,"Come Over","Aaliyah","Aaliyah","come over","aaliyah","come over","aaliyah","comeover","comeover","aaliyah","aaliyah","comeover aaliyah","comeover aaliyah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
