"Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word","track_lower.x","artist_lower.x","track_lower_no_schar.x","track_lower_no_brackets.x","track_lower_no_schar_ws.x","track_lower_no_brackets_ws.x","track_lower_no_brackets_schar","track_lower_no_brackets_schar_ws","track_artists","recording.title","recording.artist.credit.phrase","track_lower.y","artist_lower.y","track_lower_no_schar.y","track_lower_no_brackets.y","track_lower_no_schar_ws.y","track_lower_no_brackets_ws.y","artist_lower_no_bracket","artist_lower_no_bracket_schar","artist_lower_no_bracket_schar_ws","tracks_artists"
"'N Sync","(God Must Have Spent) A Little More Time On You",18," A Little More Time On You","N","Sync","(god must have spent) a little more time on you","'n sync"," god must have spent  a little more time on you","'n sync","godmusthavespentalittlemoretimeonyou","alittlemoretimeonyou","nsync","nsync","alittlemoretimeonyou nsync",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"'N Sync","I Drive Myself Crazy",12,"I Drive Myself Crazy","N","Sync","i drive myself crazy","'n sync","i drive myself crazy","'n sync","idrivemyselfcrazy","idrivemyselfcrazy","nsync","nsync","idrivemyselfcrazy nsync",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"'N Sync","It's Gonna Be Me",25,"It's Gonna Be Me","N","Sync","it's gonna be me","'n sync","it s gonna be me","'n sync","itsgonnabeme","it'sgonnabeme","nsync","nsync","it'sgonnabeme nsync",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"'N Sync","This I Promise You",26,"This I Promise You","N","Sync","this i promise you","'n sync","this i promise you","'n sync","thisipromiseyou","thisipromiseyou","nsync","nsync","thisipromiseyou nsync",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2Gether","The Hardest Part Of Breaking Up (Is Getting Back Your Stuff)",3,"The Hardest Part Of Breaking Up ","2Gether","2Gether","the hardest part of breaking up (is getting back your stuff)","2gether","the hardest part of breaking up  is getting back your stuff ","2gether","thehardestpartofbreakingupisgettingbackyourstuff","thehardestpartofbreakingup","2gether","2gether","thehardestpartofbreakingup 2gether",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama Featuring 'N Sync","God Must Have Spent A Little More Time On You",20,"God Must Have Spent A Little More Time On You","Alabama","Sync","god must have spent a little more time on you","alabama featuring 'n sync","god must have spent a little more time on you","alabama featuring 'n sync","godmusthavespentalittlemoretimeonyou","godmusthavespentalittlemoretimeonyou","alabamafeaturingnsync","alabamafeaturingnsync","godmusthavespentalittlemoretimeonyou alabamafeaturingnsync",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avant Featuring KeKe Wyatt","My First Love",20,"My First Love","Avant","Wyatt","my first love","avant featuring keke wyatt","my first love","avant featuring keke wyatt","myfirstlove","myfirstlove","avantfeaturingkekewyatt","avantfeaturingkekewyatt","myfirstlove avantfeaturingkekewyatt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne","Bling Bling",19,"Bling Bling","B","Wayne","bling bling","b.g. featuring baby, turk, mannie fresh, juvenile & lil' wayne","bling bling","b.g. featuring baby, turk, mannie fresh, juvenile & lil' wayne","blingbling","blingbling","bgfeaturingbabyturkmanniefreshjuvenilelilwayne","bgfeaturingbabyturkmanniefreshjuvenilelilwayne","blingbling bgfeaturingbabyturkmanniefreshjuvenilelilwayne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blink-182","The Rock Show",9,"The Rock Show","Blink","182","the rock show","blink-182","the rock show","blink-182","therockshow","therockshow","blink182","blink182","therockshow blink182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blink-182","What's My Age Again?",20,"What's My Age Again?","Blink","182","what's my age again?","blink-182","what s my age again ","blink-182","whatsmyageagain","what'smyageagain?","blink182","blink182","what'smyageagain? blink182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Body Head Bangerz Featuring YoungBloodz","I Smoke, I Drank",9,"I Smoke, I Drank","Body","YoungBloodz","i smoke, i drank","body head bangerz featuring youngbloodz","i smoke  i drank","body head bangerz featuring youngbloodz","ismokeidrank","ismoke,idrank","bodyheadbangerzfeaturingyoungbloodz","bodyheadbangerzfeaturingyoungbloodz","ismoke,idrank bodyheadbangerzfeaturingyoungbloodz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brian McKnight Featuring Jermaine Dupri","Tell Me What's It Gonna Be",5,"Tell Me What's It Gonna Be","Brian","Dupri","tell me what's it gonna be","brian mcknight featuring jermaine dupri","tell me what s it gonna be","brian mcknight featuring jermaine dupri","tellmewhatsitgonnabe","tellmewhat'sitgonnabe","brianmcknightfeaturingjermainedupri","brianmcknightfeaturingjermainedupri","tellmewhat'sitgonnabe brianmcknightfeaturingjermainedupri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
