"recording.title","recording.artist.credit.phrase","number"
"1999","Prince",25
"A Thousand Miles","Vanessa Carlton",25
"All My Life","Foo Fighters",25
"Alone","Lasgo",25
"Amazed","Lonestar",25
"American Idiot","Green Day",25
"Angel","Sarah McLachlan",25
"Angels","Robbie Williams",25
"Another Postcard","Barenaked Ladies",25
"Babylon","David Gray",25
"Bag Lady","Erykah Badu",25
"Beautiful Day","U2",25
"Because I Got High","Afroman",25
"Believe","Cher",25
"Big Big World","Emilia",25
"Blue","Eiffel 65",25
"Blurry","Puddle of Mudd",25
"Breathe","Télépopmusik",25
"Burn","Usher",25
"By the Way","Red Hot Chili Peppers",25
"By Your Side","Sade",25
"Californication","Red Hot Chili Peppers",25
"Caught Out There","Kelis",25
"Clint Eastwood","Gorillaz",25
"Clocks","Coldplay",25
"Complicated","Avril Lavigne",25
"Crawling","Linkin Park",25
"Dip It Low","Christina Milian",25
"Don’t Call Me Baby","Madison Avenue",25
"Drift Away","Dobie Gray",25
"Drive","Incubus",25
"Every Morning","Sugar Ray",25
"Everytime","Britney Spears",25
"Faint","Linkin Park",25
"Fallen","Sarah McLachlan",25
"Family Affair","Mary J. Blige",25
"Fill Me In","Craig David",25
"Flake","Jack Johnson",25
"Float On","Modest Mouse",25
"Foolish","Ashanti",25
"Genie in a Bottle","Christina Aguilera",25
"Get Busy","Sean Paul",25
"Get the Party Started","P!nk",25
"Get Ur Freak On","Missy Elliott",25
"Gotta Get Thru This","Daniel Bedingfield",25
"Gotta Tell You","Samantha Mumba",25
"Guerrilla Radio","Rage Against the Machine",25
"Hands","Jewel",25
"Hands Clean","Alanis Morissette",25
"Hanginaround","Counting Crows",25
"Harder to Breathe","Maroon 5",25
"Hate to Say I Told You So","The Hives",25
"Heard It All Before","Sunshine Anderson",25
"I Am Mine","Pearl Jam",25
"I Disappear","Metallica",25
"I Try","Macy Gray",25
"I Wanna Know","Joe",25
"I Wish","R. Kelly",25
"If You Had My Love","Jennifer Lopez",25
"Insatiable","Darren Hayes",25
"It Feels So Good","Sonique",25
"Jesus Walks","Kanye West",25
"Kernkraft 400","Zombie Nation",25
"Kiss Me","Sixpence None the Richer",25
"Last Kiss","Pearl Jam",25
"Lean Back","Terror Squad",25
"Like Glue","Sean Paul",25
"Losing Grip","Avril Lavigne",25
"Love Like This","Faith Evans",25
"Lucky","Britney Spears",25
"Lullaby","Shawn Mullins",25
"Maria","Blondie",25
"Milkshake","Kelis",25
"Millennium","Robbie Williams",25
"Music","Madonna",25
"My Favorite Mistake","Sheryl Crow",25
"My Happy Ending","Avril Lavigne",25
"My Immortal","Evanescence",25
"My Own Worst Enemy","Lit",25
"My Sweet Lord","George Harrison",25
"Naughty Girl","Beyoncé",25
"No Leaf Clover","Metallica",25
"No Letting Go","Wayne Wonder",25
"No More","Ruff Endz",25
"No One Knows","Queens of the Stone Age",25
"No Scrubs","TLC",25
"No Such Thing","John Mayer",25
"Nothing as It Seems","Pearl Jam",25
"Numb","Linkin Park",25
"One More Time","Daft Punk",25
"One Step Closer","Linkin Park",25
"One Week","Barenaked Ladies",25
"Otherside","Red Hot Chili Peppers",25
"Party Up","DMX",25
"Pinch Me","Barenaked Ladies",25
"Praise You","Fatboy Slim",25
"Rapture","iiO",25
"Right Thurr","Chingy",25
"Rock Your Body","Justin Timberlake",25
"Satisfaction","Eve",25
"Save Tonight","Eagle‐Eye Cherry",25
"Say My Name","Destiny’s Child",25
"Scandalous","Mis-Teeq",25
"Scar Tissue","Red Hot Chili Peppers",25
"Schism","Tool",25
"Seven Nation Army","The White Stripes",25
"She Will Be Loved","Maroon 5",25
"Sk8er Boi","Avril Lavigne",25
"Slow","Kylie Minogue",25
"Somebody Told Me","The Killers",25
"Something","Lasgo",25
"Sometimes","Britney Spears",25
"Somewhere I Belong","Linkin Park",25
"Spanish Guitar","Toni Braxton",25
"Special","Garbage",25
"Straight Up","Chanté Moore",25
"Strong Enough","Cher",25
"Stronger","Britney Spears",25
"Sweetness","Jimmy Eat World",25
"Take Me Out","Franz Ferdinand",25
"Thank U","Alanis Morissette",25
"The Day the World Went Away","Nine Inch Nails",25
"The Ketchup Song","Las Ketchup",25
"The Light","Common",25
"The Middle","Jimmy Eat World",25
"The Rising","Bruce Springsteen",25
"The Rockafeller Skank","Fatboy Slim",25
"The Space Between","Dave Matthews Band",25
"The Voice Within","Christina Aguilera",25
"There You Go","P!nk",25
"This Love","Maroon 5",25
"Thong Song","Sisqó",25
"Times Like These","Foo Fighters",25
"Tipsy","J-Kwon",25
"Toca’s Miracle","Fragma",25
"Too Close","Next",25
"Too Little Too Late","Barenaked Ladies",25
"Touch It","Monifah",25
"Toxic","Britney Spears",25
"Try Again","Aaliyah",25
"Underneath Your Clothes","Shakira",25
"Vertigo","U2",25
"Wifey","Next",25
"Without Me","Eminem",25
"Yellow","Coldplay",25
"You Get What You Give","New Radicals",25
"Better Off Alone","Alice DeeJay",24
"Crush","Dave Matthews Band",24
"Days Go By","Dirty Vegas",24
"Drops of Jupiter","Train",24
"Fine Again","Seether",24
"From This Moment On","Shania Twain",24
"I’m With You","Avril Lavigne",24
"In the End","Linkin Park",24
"My Love Is Your Love","Whitney Houston",24
"Nobody’s Home","Avril Lavigne",24
"Sandstorm","Darude",24
"Someday","Nickelback",24
"Steal My Sunshine","LEN",24
"Take a Picture","Filter",24
"The Reason","Hoobastank",24
"Through the Wire","Kanye West",24
"Waiting for Tonight","Jennifer Lopez",24
"Walking Away","Craig David",24
"Westside","TQ",24
"What a Girl Wants","Christina Aguilera",24
"Wish You Were Here","Incubus",24
"Work It","Missy Elliott",24
"7 Days","Craig David",23
"AM to PM","Christina Milian",23
"Bliss","Tori Amos",23
"Daughters","John Mayer",23
"Don’t Tell Me","Avril Lavigne",23
"E.I.","Nelly",23
"Everything You Want","Vertical Horizon",23
"Gimme the Light","Sean Paul",23
"Here Without You","3 Doors Down",23
"How You Remind Me","Nickelback",23
"I’m Like a Bird","Nelly Furtado",23
"If I Could Turn Back the Hands of Time","R. Kelly",23
"Kryptonite","3 Doors Down",23
"Learn to Fly","Foo Fighters",23
"Love at First Sight","Kylie Minogue",23
"Ms. Jackson","OutKast",23
"Shake Ya Ass","Mystikal",23
"Soak Up the Sun","Sheryl Crow",23
"Who Let the Dogs Out","Baha Men",23
"All Star","Smash Mouth",22
"Breaking the Habit","Linkin Park",22
"Breathless","The Corrs",22
"Come Into My World","Kylie Minogue",22
"Follow Me","Uncle Kracker",22
"I Will Remember You","Sarah McLachlan",22
"I’m Outta Love","Anastacia",22
"In da Club","50 Cent",22
"Just in Case","Jaheim",22
"Like I Love You","Justin Timberlake",22
"Megalomaniac","Incubus",22
"Nookie","Limp Bizkit",22
"Ocean Avenue","Yellowcard",22
"So Fresh, So Clean","OutKast",22
"The Bad Touch","Bloodhound Gang",22
"The Chemicals Between Us","Bush",22
"The Red","Chevelle",22
"Toxicity","System of a Down",22
"Wherever You Will Go","The Calling",22
"Wrong Impression","Natalie Imbruglia",22
"Bigger Than My Body","John Mayer",21
"Fly Away","Lenny Kravitz",21
"Girl All the Bad Guys Want","Bowling for Soup",21
