"","Artist","artist","artist_credit_phrase","Artist_no_featuring","song title","artist mbid","ISRC","release","recording_id","country","date"
"1","Blondie","Blondie","Blondie","Blondie","Rip Her to Shreds","4d2956d1-a3f7-44bb-9a41-67563e1a0c94","USDPK1302610","Blondie 4(0) Ever: Ghosts of Download / Greatest Hits Deluxe Redux","8941bba6-cb84-47b4-b003-4bf42a07322a","US","2014-05-09"
"2","Eminem Featuring Dido","Eminem","Eminem","Eminem","Framed","b95ce3ff-3d05-4e87-9e01-c97b66af13d4","USUM71713419","Revival","10066abd-5163-4b0a-915e-0b95029e13b1","US","2017-12-15"
"3","702","702","702","702","Steelo","4822d466-5c1f-4e04-80e9-e33e8295c26b","USMO19682942","No Doubt","4b0ff1dd-6047-4956-ad15-d7c00a2c6240","US","1996-10-08"
"4","Whitney Houston & Enrique Iglesias","Pentatonix","Pentatonix feat. Whitney Houston","Whitney Houston","Do You Hear What I Hear?","0307edfc-437c-4b48-8700-80680e66a228","USRC11902562","The Best of Pentatonix Christmas","af8a2c55-e79b-473c-82f1-bbc8594ab96a","US","2019-10-25"
"5","Reba","Reba McEntire","Reba","Reba","This Christmas","3ec17e85-9284-4f4c-8831-4e56c2354cdb","USMC19901583","Secret of Giving: A Christmas Collection","e1b0598b-d0b7-4e60-b6fc-4de771aa3ddb","US","1999-09-21"
"6","Elvis Presley","Elvis Presley","Elvis Presley","Elvis Presley","Long Black Limousine (takes 1, 2, 3 & 5)","01809552-4f87-45b0-afff-2c6f0730a3be","USRC11901801","American Sound 1969","297a4a57-21b1-4724-a1b2-cd3c8ab14244","XW","2019-08-23"
"7","Celine Dion","Céline Dion","Céline Dion","Celine Dion","Falling Into You","847e8a0c-cc20-4213-9e16-975515c2a926","CAC220003060","Falling Into You","d3b6ac5c-6fc0-4d31-9149-f48d98c6c8fb","GB","1996-02-19"
"8","Celine Dion","Céline Dion","Céline Dion","Celine Dion","Falling Into You","847e8a0c-cc20-4213-9e16-975515c2a926","CAC229800164","Falling Into You","d3b6ac5c-6fc0-4d31-9149-f48d98c6c8fb","GB","1996-02-19"
"9","Snoop Dogg Featuring Xzibit & Nate Dogg","Snoop Dogg","Snoop Dogg & DJ Drama feat. Stressmatic","Snoop Dogg","I’m From 21st Street","f90e8b26-9e52-4669-a5c9-e28529c47894","QZS7J2273700","Gangsta Grillz: I Still Got It","d66906c5-9693-41e1-923c-f746a1b22508","XW","2022-10-20"
"10","Naughty By Nature Featuring Zhane","Naughty by Nature","Naughty by Nature","Naughty By Nature","O.P.P.","3bdcd49d-212e-4f4f-877a-eac1e4a2bddc","USTB10250000","Naughty by Nature","360a21a5-68e9-4f34-a4f6-fb306f870c82","US","1991-08-30"
"11","P. Diddy Featuring Usher & Loon","Diddy","Puff Daddy feat. Twista","P Diddy","Is This the End, Part Two","cabb4fcf-4067-4ba5-908d-76ee66fcf0c6","USBB40580876","Forever","831246c9-c6a5-4e32-b91e-99ce3c101999","US","1999-08-24"
"12","Jennifer Lopez Featuring Styles & Jadakiss","Jennifer Lopez","Jennifer Lopez","Jennifer Lopez","Promise Me You’ll Try","f0602f55-1770-483d-89bd-4bae0d0ac086","USSM19900594","On the 6","a31e599a-a221-4774-b70f-e538b846b640","US","1999-06-01"
"13","Elvis Presley","Elvis Presley","Elvis Presley","Elvis Presley","Monologue (Lifestory)","01809552-4f87-45b0-afff-2c6f0730a3be","USRC11901346","Live 1969","74be012e-2cb5-4a9b-b4b1-dc3d40945e95","XW","2019-08-09"
"14","Aerosmith","Aerosmith","Aerosmith","Aerosmith","Reefer Head Woman","3d2b98e5-556f-4451-a3ff-c50ea18d57cb","USUG12103085","1971: The Road Starts Hear","2a382101-71fd-4a84-b8a3-866453b726c5","US","2022-04-08"
"15","Lloyd Banks","Lloyd Banks","Lloyd Banks","Lloyd Banks","Drop 5","8a6ccf62-b8fa-46d7-87df-f2dd14e6280d","QZHN82157998","The Course of the Inevitable","222dfa26-8c7b-4c7e-a7e8-bccddbd1d3ba","XW","2021-06-04"
"16","U2","U2","U2","U2","Drunk Chicken / America","a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432","GBUM70710586","The Joshua Tree","6b81823b-43e5-4a83-9eab-ac7110904651","US","2007-11-20"
"17","Linkin Park","Linkin Park","Linkin Park","Linkin Park","Kyur4 th Ich","f59c5520-5f46-4d2c-b2c4-822eabf53419","USWBV0200085","Reanimation","5b2eab7f-19ec-4226-b64d-f4526fdf5376","US","2002-10-15"
"18","Paul McCartney","Paul McCartney","Paul McCartney","Paul McCartney","Blackbird (live at Amoeba 2007)","ba550d0e-adac-4864-b88b-407cab5e76af","GBCCS1900017","Amoeba Gig","fc968130-d57a-4ed7-932f-3609e5a8f480","US","2019-07-12"
"19","Kenny G","Kenny G","Kenny G","Kenny G","Do You Hear What I Hear?","4cd556a5-db82-43f6-8d55-99598b42da8f","USAR10201244","Wishes a Holiday Album","1b8b32c1-cde2-42f0-ba69-f6394447a6f2","AF","2002-10-01"
"20","R.E.M.","R.E.M.","R.E.M.","REM","Burning Hell","ea4dfa26-f633-4da6-a52a-f49ea4897b58","USIR39200064","Fables of the Reconstruction","bfa8b9b6-2dd3-4b64-947c-1db8b52762b9","XE","1992"
"21","Beyonce Featuring Jay Z","Beyoncé","Beyoncé featuring Slim Thug","Beyonce","Check on It (King Klub mix)","859d0860-d480-4efd-970c-c05d5f1776b8","USSM10507098","Check on It (dance mixes)","822fe423-15a3-4d2d-9a4a-c37ce6f0628d",NA,"2005"
"22","Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz","Snoop Dogg","Snoop Dogg feat. Master P","Snoop Dogg","Snoop World","f90e8b26-9e52-4669-a5c9-e28529c47894","USPO19800014","Da Game Is to Be Sold, Not to Be Told","c5c602db-2685-431f-97a3-af6d1b506ad3","US","1998-08-04"
"23","Beyonce","Beyoncé","Beyoncé","Beyonce","Listen","859d0860-d480-4efd-970c-c05d5f1776b8","USZXT1061492","I Am... Tour Instrumentals","60a153e4-fff7-4d8a-a31b-4136e2c472d2","US","2011-02-01"
"24","Eminem Featuring Dido","Jadakiss","Jadakiss feat. Sheek, Styles P. & Eminem","Eminem","Welcome to D-Block","b95ce3ff-3d05-4e87-9e01-c97b66af13d4","USIR10400451","Kiss of Death","c04fb51a-1d36-4df4-9f8a-9529f3849ad4","US","2004-06-22"
"25","Eminem","Eminem","Eminem, Obie Trice, Stat Quo, Bobby Creekwater & Ca$his","Eminem","We’re Back","b95ce3ff-3d05-4e87-9e01-c97b66af13d4","USUM70618664","Eminem Presents: The Re-Up","51b81394-9a5f-4524-bfbe-7757ab17ced4","GB","2006-12-04"
"26","Jay-Z Featuring Beanie Sigel & Amil","Rihanna","Rihanna feat. JAY Z","JayZ","Umbrella","f82bcf78-5b69-4622-a5ef-73800768d9ac","USUM71200742","Anthems: R&B","bdf8b36a-eaac-47fc-9738-51e7e091a2fa","AU","2010"
"27","DMX","Mase","Mase feat. The LOX, Black Rob & DMX","DMX","24 Hrs to Live","f3bf61f8-97d4-4e52-a73d-2ddbbe8196c8","USBB40580123","Harlem World","492ee4c8-707b-4e3a-8b2e-6b92e07d6ddf","US","1997-10-28"
"28","'N Sync","*NSYNC","*NSYNC","N Sync","Giddy Up","603ba565-3967-4be1-931e-9cb945394e86","DEA819700266","*NSYNC","45a89256-b895-4d07-808b-ac05608429c1","DE","1997-05-30"
"29","'N Sync","*NSYNC","*NSYNC","N Sync","Giddy Up","603ba565-3967-4be1-931e-9cb945394e86","USGF19822007","*NSYNC","45a89256-b895-4d07-808b-ac05608429c1","DE","1997-05-30"
"30","Goo Goo Dolls","The Goo Goo Dolls","Goo Goo Dolls","Goo Goo Dolls","Postcards From Paradise","e2c00c56-8365-4160-9f40-a64682917633","USWB11001968","Something for the Rest of Us (Deluxe)","7050695a-cb62-4017-bac7-7829df8fbc6f","JP","2010-08-26"
"31","R. Kelly & Jay-Z","R. Kelly","R. Kelly feat. The Notorious B.I.G.","R Kelly","(You to Be) Be Happy","c2d25856-a09a-4d15-b404-77dd19c19e63","GBAHK9500187","R. Kelly","230fc071-037f-46ad-bd3f-80443b91fd0c","US","1995-11-14"
"32","Mary J. Blige Featuring Ja Rule","Mary J. Blige","Mary J. Blige","Mary J Blige","No Condition","db76c5ca-d555-4f09-b1db-baa1b713d875","USUM71116427","My Life II...The Journey Continues (Act 1)","22ba868f-fc39-423e-b0a0-52958c5ac0d7","CA","2011-11-21"
"33","Train","Train","Train","Train","Free","bfd5aec5-62a2-4560-a316-7c46c17babda","USSM19605549","Train","f77bb665-985a-4443-83bc-307be5166c64","US","1996"
"34","Everclear","Everclear","Everclear","Everclear","Rockstar","3604c99d-c146-4276-aa0c-9376d333aeb8","USSJ10900253","In a Different Light","7f8fccf8-fe35-4fe0-9ddc-beb6cd981b4c","US","2009-10-06"
"35","Glenn Lewis","Leona Lewis","Leona Lewis","Glenn Lewis","I Got You","8d552dfc-648f-401f-90de-e925013ca537","GBUM71501202","I Am","49b99ace-fb69-4abd-b8b3-4e728143de7f","XW","2015-09-11"
"36","Violator Featuring Busta Rhymes","Capone-N-Noreaga","Capone-N-Noreaga feat. Busta Rhymes & Ron Browz","Violator","Rotate","10a9ff92-9637-4498-afea-7044b2ab0dc0","USBHD0901281","Channel 10","97f9f694-32bc-4e77-8802-64d07b01123a","US","2009-03-17"
"37","Paul McCartney","Paul McCartney","Paul McCartney","Paul McCartney","On the Way","ba550d0e-adac-4864-b88b-407cab5e76af","GBCCS1000166","McCartney II","099aa2f8-6dbc-4e86-8900-17011cb56eb1","NL","1980-05-16"
"38","Paul McCartney","Paul McCartney","Paul McCartney","Paul McCartney","On the Way","ba550d0e-adac-4864-b88b-407cab5e76af","GBCCS1000193","McCartney II","099aa2f8-6dbc-4e86-8900-17011cb56eb1","NL","1980-05-16"
"39","Paul McCartney","Paul McCartney","Paul McCartney","Paul McCartney","On the Way","ba550d0e-adac-4864-b88b-407cab5e76af","GBCCS1400220","McCartney II","099aa2f8-6dbc-4e86-8900-17011cb56eb1","NL","1980-05-16"
"40","Teena Marie Featuring Baby","Teena Marie","Teena Marie","Teena Marie","I Need Your Lovin'","98cb2d05-0b47-4bc6-b345-792eecbe8449","USUM71107647","Irons in the Fire","9bb041a1-2739-4aad-a623-b76cab41a1ef","US","2011-06-14"
"41","Snoop Dogg","Snoop Dogg","Snoop Dogg feat. Chris Brown","Snoop Dogg","Turn Me On","f90e8b26-9e52-4669-a5c9-e28529c47894","USUYG1268695","I Wanna Thank Me","a624cfef-55d9-4440-bf9b-2bd98cdbe5b2","XW","2019-08-15"
"42","Vengaboys","Vengaboys","Vengaboys","Vengaboys","Up and Down","90c7177f-4be5-413d-aabd-d228934c2b9b","NLC529811111","TMF Hitzone 2","d23e7d5f-21a7-4ff0-b419-7e9b2e105f0b","NL","1998-04-17"
"43","Brian McKnight Featuring Jermaine Dupri","Brian McKnight","Brian McKnight","Brian McKnight","10 Million Stars","bf75ef89-7b4c-4771-ac43-4d5c10617190","QM43A1700182","Genesis","af9567a9-ed08-451b-be06-4e28b67037de","US","2017-08-25"
"44","Gorillaz","Gorillaz","Gorillaz","Gorillaz","On Melancholy Hill","e21857d5-3256-4547-afb3-4b6ded592596","GBAYE1000010","Plastic Beach","842fbdae-8839-46e6-8a02-7f500a2b6597","XW","2010-03-03"
"45","Reba","Reba McEntire","Reba feat. Linda Davis","Reba","Face to Face","3ec17e85-9284-4f4c-8831-4e56c2354cdb","USMC19801311","If You See Him","e5feee70-cce3-43df-bfbc-6dde63f3b211","US","1998-06-02"
"46","The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim","The Notorious B.I.G.","The Notorious B.I.G.","The Notorious BIG","Just Playing (Dreams)","d5d97b2b-b83b-4976-814a-056d9076c8c3","USBB40580823","Ready to Die - The Remaster","845c279d-a17b-4ab2-910b-fb0ff1e35531","US","1994-09-13"
