danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,ISRC
0.611,0.929,7,-3.694,0,0.0405,0.107,0.0,0.68,0.825,139.79,audio_features,4GK68aryfVhaIgvQBz7i3W,spotify:track:4GK68aryfVhaIgvQBz7i3W,https://api.spotify.com/v1/tracks/4GK68aryfVhaIgvQBz7i3W,https://api.spotify.com/v1/audio-analysis/4GK68aryfVhaIgvQBz7i3W,215807,4,QMB2P1800034
0.478,0.175,10,-15.549,0,0.0344,0.838,0.0464,0.103,0.113,102.31,audio_features,3noyCzq4jKiEjx3I8fVvaT,spotify:track:3noyCzq4jKiEjx3I8fVvaT,https://api.spotify.com/v1/tracks/3noyCzq4jKiEjx3I8fVvaT,https://api.spotify.com/v1/audio-analysis/3noyCzq4jKiEjx3I8fVvaT,204093,4,USBN29100193
0.3,0.139,10,-17.022,1,0.041,0.949,0.0979,0.11,0.0548,82.332,audio_features,0Uxv78oVElyfR2uXfGAkE8,spotify:track:0Uxv78oVElyfR2uXfGAkE8,https://api.spotify.com/v1/tracks/0Uxv78oVElyfR2uXfGAkE8,https://api.spotify.com/v1/audio-analysis/0Uxv78oVElyfR2uXfGAkE8,278307,4,CAA160309106
0.291,0.142,10,-17.064,1,0.0418,0.945,0.0936,0.107,0.0558,77.427,audio_features,0ubvEfNjcJomvv4qiauyyj,spotify:track:0ubvEfNjcJomvv4qiauyyj,https://api.spotify.com/v1/tracks/0ubvEfNjcJomvv4qiauyyj,https://api.spotify.com/v1/audio-analysis/0ubvEfNjcJomvv4qiauyyj,278361,4,USBN29100169
0.318,0.136,9,-15.302,1,0.036,0.936,1.71e-05,0.371,0.109,70.64,audio_features,4A5ckboG4WlYXsBmUyCQlD,spotify:track:4A5ckboG4WlYXsBmUyCQlD,https://api.spotify.com/v1/tracks/4A5ckboG4WlYXsBmUyCQlD,https://api.spotify.com/v1/audio-analysis/4A5ckboG4WlYXsBmUyCQlD,180133,4,CAA160309307
0.273,0.131,9,-16.35,1,0.0374,0.944,0.000111,0.315,0.0994,139.99,audio_features,2juCqaFkxewIuE6bWsWwhu,spotify:track:2juCqaFkxewIuE6bWsWwhu,https://api.spotify.com/v1/tracks/2juCqaFkxewIuE6bWsWwhu,https://api.spotify.com/v1/audio-analysis/2juCqaFkxewIuE6bWsWwhu,182200,4,USBN29300157
0.501,0.197,1,-12.603,1,0.0396,0.483,0.000882,0.11,0.393,174.289,audio_features,715PN0IwoE5eLwvJZcDmhj,spotify:track:715PN0IwoE5eLwvJZcDmhj,https://api.spotify.com/v1/tracks/715PN0IwoE5eLwvJZcDmhj,https://api.spotify.com/v1/audio-analysis/715PN0IwoE5eLwvJZcDmhj,253493,4,CAA160309301
0.551,0.206,1,-12.633,1,0.0382,0.51,0.000275,0.11,0.371,174.205,audio_features,0LcYSjRsTYwr9EJG2dvsad,spotify:track:0LcYSjRsTYwr9EJG2dvsad,https://api.spotify.com/v1/tracks/0LcYSjRsTYwr9EJG2dvsad,https://api.spotify.com/v1/audio-analysis/0LcYSjRsTYwr9EJG2dvsad,252893,4,USBN29300159
0.421,0.0908,9,-18.672,1,0.0323,0.881,0.00372,0.117,0.0974,96.086,audio_features,28NHQ0szQj8qpxMMBuZp7g,spotify:track:28NHQ0szQj8qpxMMBuZp7g,https://api.spotify.com/v1/tracks/28NHQ0szQj8qpxMMBuZp7g,https://api.spotify.com/v1/audio-analysis/28NHQ0szQj8qpxMMBuZp7g,259267,4,CAA160309302
0.372,0.102,9,-18.694,1,0.0348,0.867,0.00579,0.119,0.0868,99.554,audio_features,1pUipNN5oPxb5yKEyTm6li,spotify:track:1pUipNN5oPxb5yKEyTm6li,https://api.spotify.com/v1/tracks/1pUipNN5oPxb5yKEyTm6li,https://api.spotify.com/v1/audio-analysis/1pUipNN5oPxb5yKEyTm6li,259773,4,USBN29300160
0.728,0.169,1,-18.973,1,0.128,0.735,3.24e-05,0.109,0.467,101.158,audio_features,6uSUTbzpdwOE8GiIAaLO02,spotify:track:6uSUTbzpdwOE8GiIAaLO02,https://api.spotify.com/v1/tracks/6uSUTbzpdwOE8GiIAaLO02,https://api.spotify.com/v1/audio-analysis/6uSUTbzpdwOE8GiIAaLO02,156293,3,CAA160309310
