,recording.title,recording.artist-credit-phrase
0,Bye Bye Bye,N-SYNC
1,Bye Bye Bye (remix),N-Sync
2,Good Pussy Gone Bad,Sync
3,It's Gone,Kitchen Sync
4,Music of My Heart,Gloria Estefan
5,Music of My Heart,Gloria Estefan & *NSYNC
6,Music of My Heart (Lawrence Dermer remix),*NSYNC & Gloria Estefan
7,Music of My Heart (Pablo Flores remix),*NSYNC & Gloria Estefan
8,"Music of My Heart (Hex Hector 7"" remix)",*NSYNC & Gloria Estefan
9,Music of My Heart (Pablo Flores radio edit),*NSYNC & Gloria Estefan
10,Music of My Heart (Pablo Flores club mix),*NSYNC & Gloria Estefan
11,"Music of My Heart (Hex Hector 12"" club mix)",*NSYNC & Gloria Estefan
12,Girlfriend,*NSYNC feat. Nelly
13,Girlfriend,Justin Timberlake feat. Nelly
14,Girlfriend (remix),*NSYNC feat. Nelly
15,Girlfriend in the City,Nelly Furtado
16,Girlfriend in the City,Nelly Furtado
17,Girlfriend (The Neptunes remix),*NSYNC feat. Nelly
18,Girlfriend (The Neptunes remix),*NSYNC feat. Nelly
19,Girlfriend (The Neptunes remix),*NSYNC feat. Nelly
20,Girlfriend (The Neptunes remix),*NSYNC feat. Nelly
21,Girlfriend (The Neptunes remix) (instrumental),*NSYNC feat. Nelly
22,Girlfriend (Old Skool Drum + Bass remix),*NSYNC feat. Nelly
23,Dance With Me,112
24,Dance With Me,112
25,Dance With Me,112
26,Dance With Me,112
27,Dance With Me,112
28,Dance With Me,112
29,Dance With Me,112
30,Dance With Me,112
31,Dance With Me,112
32,Dance With Me,112
33,Dance With Me (instrumental),112
34,Dance With me (KMillz remix),112
35,Dance With Me (radio edit),112
36,Dance with Me (radio mix),112
37,Dance With Me (club mix),112
38,Dance With Me (a cappella),112
39,Dance With Me (club mix),112
40,Dance With Me (club mix),112
41,Dance With Me,112 feat. Timbaland
42,Dance With Me (Beanie Sigel club mix),112
43,Dance With Me,112 feat. Beanie Sigel
44,Dance With Me (remix),112 feat. Beanie Sigel
45,Dance with Me (Aztek Remix),112 & Aztek
46,Dance With Me (radio mix),112 feat. Beanie Sigel
47,Dance With Me (remix) (radio mix),112 feat. Beanie Sigel
48,It’s Over Now,112
49,It’s Over Now,112
50,It’s Over Now,112
51,It's Over Now,112
52,It’s Over Now,112
53,It's Over Now,112
54,It’s Over Now,112
55,It’s Over Now,112
56,It’s Over Now (instrumental),112
57,It’s Over Now (album version),112
58,It’s Over Now,112 feat. Prodigy
59,It’s Over Now,112 feat. G. Dep & Shyne
60,It’s Over Now (remix),112 feat. G. Dep & Shyne
61,It’s Over Now (remix),112 feat. Prodigy of Mobb Deep
62,It’s Over Now (mix),112 feat. G. Dep & Shyne
63,Peaches & Cream,112
64,Peaches & Cream,112
65,Peaches and Cream,112
66,Peaches & Cream,112
67,Peaches & Cream,112
68,Peaches & Cream,112
69,Peaches and Cream,112
70,Peaches & Cream,112
71,Peaches & Cream,112
72,Peaches and Cream,112
73,Peaches & Cream,112
74,Peaches and Cream,112
75,Peaches & Cream,112 feat. Diddy
76,Peaches & Cream (Ludacris mix),112
77,Peaches & Cream (instrumental mix),112
78,Peaches & Cream (Stripped version),112
79,Peaches & Cream (radio mix),112
80,Peaches & Cream,112 feat. P. Diddy
81,Peaches and Cream,112 feat. Puff Daddy
82,Peaches & Cream,112 feat. P. Diddy
83,Peaches and Cream,112 feat Sean Combs
84,Peaches & Cream,112 feat. P. Diddy
85,Peaches & Cream,112 feat. P. Diddy
86,Peaches & Cream (P. Diddy mix),112
87,Peaches & Cream (remix without rap),112
88,Anywhere,112 feat. Shyne & Lil' Z
89,Anywhere,"Wav3motion, Lucky Z & Ken Delrio"
90,Anywhere (remix),112 feat. Shyne & Lil' Z
91,Anywhere (radio mix),112 feat. Lil’ Z
92,Anywhere (extended mix),"Wav3motion, Lucky Z & Ken Delrio"
93,Anywhere (call out research hook),112 feat. Lil’ Z
94,Hot & Wet,112 feat. Ludacris
95,Hot & Wet,112 feat. Ludacris
96,Hot & Wet,112 feat. Ludacris
97,Hot and Wet (DJ remix),112 feat. Ludacris
98,Hot & Wet (remix),112 feat. Ludacris & Chingy
99,Hot & Wet (remix),Ghostface Killah feat. Ludacris & Chingy
100,Love Me (Verse),Mase
101,Love Me,112 feat. Mase
102,Love Me,112 feat. Mase
103,Love Me (instrumental),112 feat. Mase
104,Na Na Na Na,112 feat. Super Cat
105,Changes,2Pac
106,Changes,2Pac
107,Changes,2Pac
108,Changes,2Pac
109,Changes,2Pac
110,Changes,2Pac
111,Changes,2Pac
112,Changes,2Pac
113,Ghetto Changes,2Pac
114,Changes (remix),2Pac
115,Changes (original),2Pac
116,Changes (instrumental),2Pac
117,Changes (radio edit),2Pac
118,Changes,2Pac feat. Talent
119,Changes,2Pac feat. Talent
120,Changes,2Pac feat. Roniece
121,Changes (Tony Kenyon Mix),2Pac
122,Changes (DJ Veli mix),2Pac
123,Changes (remix),DMX feat. 2Pac
124,Miraculous Changes,Nipsey & 2Pac presented by David Begun
125,"No Doubt / Nasty Girl / That’s the Rapper / Hard to Kill / Time to Move On (Choice remix) / If You Really Wanna Know / Ground Up / Bounce, Rock, Skate, Roll / Changes / Incredible / Are You in Love? / 5 Boroughs / Like It Like That / One Man","Imajin / Kasino / Mystikal / Spice 1 featuring Method Man / Sparkle featuring Vegas Cats / Marc Dorsey / E‐40 featuring K‐Ci and JoJo / Baby DC featuring Imajin / 2Pac / Keith Murray featuring LL Cool J / Jane Blaze / KRS‐One featuring Buckshot, Cam’ron, Keith Murray, Prodigy, Run and Vigilante / A Tribe Called Quest / R. Kelly"
126,Thugz Mansion,2Pac
127,Thugz Mansion,2Pac
128,Thugz Mansion,2Pac
129,Thugz Mansion,2Pac
130,Thugz Mansion,2Pac
131,Thugz Mansion (Slippin’),2Pac
132,Thugz Mansion II,2Pac
133,Thugz Mansion (video),2Pac
134,Thugz Mansion,2Pac & Nas
135,Thugz Mansion,2Pac feat. Anthony Hamilton
136,Thugz Mansion,2Pac feat. Anthony Hamilton
137,Thugz Mansion,2Pac & DJ Premier
138,Thugz Mansion (Nas acoustic),2Pac
139,Thugz Mansion (Ny),2Pac feat. Nas
140,Thugz Mansion (acoustic),2Pac feat. Eric Clapton
141,Thugz Mansion (instrumental),2Pac feat. Anthony Hamilton
142,Thugz Mansion (BD demo remix),2Pac
143,Thugz Mansion (2Pac original) (acoustic),2Pac
144,Thugz Mansion (acoustic),2Pac feat. Nas & J. Phoenix
145,Thugz Mansion (Chill version),Nas feat. 2Pac
146,Thugz Mansion (BD demo acoustic remix),2Pac
147,Thugz Mansion (radio version),2Pac feat. Anthony Hamilton
148,Thugz Mansion (7 remix),2Pac feat. Anthony Hamilton
149,Thugz Mansion (Cookin Soul remix),Nas feat. 2Pac
150,Thugz Mansion (N.Y.),Nas feat. 2Pac & J. Phoenix
151,Until the End of Time,2Pac
152,Until the End of Time,2Pac
153,Until the End of Time,2Pac
154,Until the End of Time,2Pac
