,recording.id,recording.title,recording.artist-credit-phrase
0,f9a91a06-2704-49c9-a019-3320b0a733bf,Bye Bye Bye,N-SYNC
1,8a459337-0ded-4a7e-8a2a-5847ae03b3b2,Bye Bye Bye (remix),N-Sync
2,c53b8982-18d8-4cea-9731-d5c162447ff5,Good Pussy Gone Bad,Sync
3,7ca0c77b-f27d-4a40-8df8-27e0e8c65827,It's Gone,Kitchen Sync
4,eb416a81-5a6b-4c3a-aba5-1938f34ea14e,Music of My Heart,Gloria Estefan
5,6295cebe-ee1f-4020-88f8-3f00dfe6ecb0,Music of My Heart,Gloria Estefan & *NSYNC
6,2997c588-23a9-487e-ab80-77e5179d1eae,Music of My Heart (Lawrence Dermer remix),*NSYNC & Gloria Estefan
7,1cf2d29c-53ee-4cba-ac12-5b14a2737e8a,Music of My Heart (Pablo Flores remix),*NSYNC & Gloria Estefan
8,cc7e8bdb-38c1-4aa8-86f7-4fa2023ab2a0,"Music of My Heart (Hex Hector 7"" remix)",*NSYNC & Gloria Estefan
9,fbb278a7-028d-4352-9938-c91129cb61f6,Music of My Heart (Pablo Flores radio edit),*NSYNC & Gloria Estefan
10,b6f4b597-0769-4411-b3dc-9a474311aa75,Music of My Heart (Pablo Flores club mix),*NSYNC & Gloria Estefan
11,417b1354-dfa6-4679-bd66-9f65a3987822,"Music of My Heart (Hex Hector 12"" club mix)",*NSYNC & Gloria Estefan
12,a1a99685-f5ed-4989-8c87-5134c7f91518,Girlfriend,*NSYNC feat. Nelly
13,4fa30aac-83a8-45a3-92d8-148d96b8cf88,Girlfriend,Justin Timberlake feat. Nelly
14,4e5c1bc9-8958-47ea-9190-ec09b3d16fdc,Girlfriend (remix),*NSYNC feat. Nelly
15,da040b12-ae17-438d-9810-168957a26f88,Girlfriend in the City,Nelly Furtado
16,9d16d61a-ef7e-4fa1-9270-954cb6d23cd3,Girlfriend in the City,Nelly Furtado
17,ce6f6454-d121-4cd1-b53d-b05d47be2a41,Girlfriend (The Neptunes remix),*NSYNC feat. Nelly
18,58489b3e-7c40-4d6c-80c3-d809ae84ff79,Girlfriend (The Neptunes remix),*NSYNC feat. Nelly
19,d5254005-f4c0-4a34-98cb-4be900f7ee41,Girlfriend (The Neptunes remix),*NSYNC feat. Nelly
20,95a2a89a-258c-4c71-a520-466ce8ac31f3,Girlfriend (The Neptunes remix),*NSYNC feat. Nelly
21,ba620447-2758-49df-addc-c187f97923ba,Girlfriend (The Neptunes remix) (instrumental),*NSYNC feat. Nelly
22,3e8c97a4-8617-4539-8247-b13f93e44528,Girlfriend (Old Skool Drum + Bass remix),*NSYNC feat. Nelly
23,d4062c3f-61c7-4c9d-8561-b5eaff7160c9,Dance With Me,112
24,e64bfd82-f592-4614-ae73-197e6ff2dfdd,Dance With Me,112
25,056673b4-f553-4502-b3b8-f3d2e59c7924,Dance With Me,112
26,aafc912e-a3fc-4669-8c1b-82d1449ab11f,Dance With Me,112
27,465f2b5b-a376-477b-9d1a-d18415bcd594,Dance With Me,112
28,f7dd36fa-aa87-4489-8ae1-84ff6be301b9,Dance With Me,112
29,bfcdce29-1fba-49c3-a3e5-6cc54f456036,Dance With Me,112
30,d0fccd5a-6a68-4094-ac5c-4c8c8184e47f,Dance With Me,112
31,cfbf28e8-5c6f-4977-8a04-2280a3607130,Dance With Me,112
32,7e59b681-4338-4399-b204-b699c1af1ded,Dance With Me,112
33,6b250287-424b-4c05-9d24-57fd2a60692d,Dance With Me (instrumental),112
34,5eac0686-8f21-410d-841f-05668433d43f,Dance With me (KMillz remix),112
35,2aead196-902d-4ba5-a72d-c12c3438c069,Dance With Me (radio edit),112
36,d4519f3a-18ae-4491-9ab9-4e8427de93b0,Dance with Me (radio mix),112
37,809b8b61-c503-44d8-b387-fc59ab513f48,Dance With Me (club mix),112
38,9855df81-112c-400c-a703-600cbca2fcac,Dance With Me (a cappella),112
39,f7779cd8-d331-4822-8916-f40d0c2a2273,Dance With Me (club mix),112
40,0b54abc8-17b4-4229-8a27-29c729b21cd9,Dance With Me (club mix),112
41,30cd3df1-ad4c-4b34-b0e5-1179ee24f576,Dance With Me,112 feat. Timbaland
42,a594ebc6-e373-4333-9602-c8558682daf9,Dance With Me (Beanie Sigel club mix),112
43,ce4d842f-ad51-409d-9542-5c615c1a5106,Dance With Me,112 feat. Beanie Sigel
44,b9ea8841-af2f-4fbc-b1af-bc29a18dd825,Dance With Me (remix),112 feat. Beanie Sigel
45,2f4d5992-ccea-4533-a440-c5377b9bb3f0,Dance with Me (Aztek Remix),112 & Aztek
46,84405290-149a-4847-88c9-8689675f36d1,Dance With Me (radio mix),112 feat. Beanie Sigel
47,6cb3ddf7-3eb2-46cc-b4eb-e34e52662456,Dance With Me (remix) (radio mix),112 feat. Beanie Sigel
48,7d918498-c178-4ec9-9617-971218da82aa,It’s Over Now,112
49,e0873d6e-e930-45b6-9bc9-fdbf4c9fc992,It’s Over Now,112
50,cdbc810e-9c79-4960-80ef-956cddef7987,It’s Over Now,112
51,3004e774-2a4e-4b61-9e10-bf798e8ce02c,It's Over Now,112
52,b53139e5-5a45-44ef-9389-e033845c3ef5,It’s Over Now,112
53,c1a9a6f3-34cb-4eb9-bb24-adf24b47863b,It's Over Now,112
54,38bcaeae-8d20-4574-b9a5-5eb5cf0a5c8d,It’s Over Now,112
55,0c3940d6-5f0d-468e-a924-a8dc26843055,It’s Over Now,112
56,80cc1944-375e-4ae1-bef7-431051ce4963,It’s Over Now (instrumental),112
57,4b3785ff-ad32-4a78-bc71-45efd4cfee66,It’s Over Now (album version),112
58,159d7e50-f03c-4a35-95c4-29f4ac9600b3,It’s Over Now,112 feat. Prodigy
59,6e862b33-72ae-4afd-a876-c8010d50a83f,It’s Over Now,112 feat. G. Dep & Shyne
